listing_id,address,city,state,zip_code,latitude,longitude,property_type,beds,baths,sqft,year_built,list_price_usd,list_status,listed_at
LIST-000031,7622 Market Way,Los Angeles,CA,25906,34.234516,-118.236031,condo,0,1,1205,1989,510000,active,2024-11-10
LIST-000032,4060 Mission Ln,New York,NY,72216,40.551234,-74.188401,condo,3,3,1631,1970,745000,active,2026-03-01
LIST-000033,3515 Pine Ct,Miami,FL,60205,25.647984,-80.320871,single-family,2,1,2152,2014,835000,active,2024-10-27
LIST-000034,106 Lake Ln,Seattle,WA,85456,47.462989,-122.207872,single-family,5,4,2640,2015,1270000,withdrawn,2024-05-16
LIST-000035,7667 Birch St,Austin,TX,62994,30.466424,-97.812589,single-family,6,6,1622,1962,325000,pending,2025-10-10
LIST-000036,5365 Park Ct,New York,NY,52906,40.622728,-74.201287,single-family,5,5,2135,2010,1125000,active,2025-02-19
LIST-000037,518 Hill Dr,Los Angeles,CA,95426,33.858678,-118.118267,townhouse,3,3,1699,2021,735000,sold,2025-12-28
LIST-000038,1886 Winter Blvd,Miami,FL,89415,25.774467,-79.995184,single-family,2,2,1903,1959,655000,sold,2024-09-08
LIST-000039,9847 Autumn Ave,New York,NY,49529,40.785889,-73.990306,single-family,5,4,2472,1975,1285000,sold,2024-07-19
LIST-000040,5944 Mission Pl,Miami,FL,74251,25.925524,-80.14379,single-family,4,4,1956,1964,675000,active,2025-03-23
LIST-000041,4032 Pine Ln,Austin,TX,45179,30.252093,-97.914296,multi-family,6,4,3555,1961,900000,sold,2025-08-04
LIST-000042,5586 Ridge Ln,New York,NY,56507,40.604301,-73.973729,condo,3,4,751,1963,400000,active,2024-10-12
LIST-000043,3640 River Dr,Denver,CO,12260,39.797793,-104.79405,single-family,5,4,1681,1960,480000,sold,2026-01-06
LIST-000044,3165 Park Ave,Los Angeles,CA,40217,33.882862,-118.209035,single-family,5,4,1948,1945,760000,active,2024-11-12
LIST-000045,5922 Elm Ln,Austin,TX,35443,30.186561,-97.979626,single-family,5,4,1838,1967,505000,expired,2026-02-06
LIST-000046,210 Lincoln Ln,San Francisco,CA,74340,37.749854,-122.213576,multi-family,8,7,1500,1989,1030000,sold,2025-12-06
LIST-000047,4988 Pine Dr,Seattle,WA,29555,47.666113,-122.128985,single-family,5,5,2365,1909,705000,sold,2024-08-26
LIST-000048,5013 Lincoln St,San Francisco,CA,87139,37.620307,-122.573719,condo,1,1,827,1948,395000,sold,2026-02-28
LIST-000049,7709 Valley St,Chicago,IL,69048,42.061447,-87.713953,single-family,3,2,1912,1922,390000,active,2025-03-14
LIST-000050,8932 Hill Blvd,Los Angeles,CA,35928,33.997072,-118.462364,single-family,3,2,1803,2000,890000,sold,2026-01-15
LIST-000051,1327 Washington St,New York,NY,80776,40.897305,-73.888814,single-family,4,3,1473,1938,665000,withdrawn,2025-05-24
LIST-000052,7255 Ridge Blvd,New York,NY,32962,40.559326,-74.160451,single-family,3,3,2351,1997,1305000,active,2024-06-01
LIST-000053,6571 Winter St,New York,NY,74942,40.771207,-74.186407,multi-family,7,6,2609,1913,1135000,pending,2025-10-21
LIST-000054,3083 Madison Way,Seattle,WA,70552,47.55008,-122.164264,multi-family,7,5,3583,2005,1820000,sold,2025-06-26
LIST-000055,2604 Valley St,Chicago,IL,89806,41.72951,-87.553732,single-family,4,4,2678,1989,685000,active,2025-09-02
LIST-000056,4489 Forest Pl,Denver,CO,48254,39.80788,-104.994649,townhouse,3,3,1511,1982,505000,sold,2025-11-08
LIST-000057,52 Valley Ln,New York,NY,76550,40.607327,-74.052438,single-family,6,6,2416,2001,1470000,pending,2026-01-02
LIST-000058,3100 Spring Dr,Miami,FL,69682,25.669744,-80.352559,townhouse,3,2,1457,1944,400000,sold,2025-02-17
LIST-000059,9679 Park Ave,Chicago,IL,26547,41.895495,-87.77411,single-family,5,4,1431,2005,415000,active,2024-05-29
LIST-000060,6522 Mission Ave,New York,NY,44737,40.565333,-74.038007,single-family,3,2,2681,2011,1550000,active,2025-04-30
LIST-000061,7120 Cedar Ave,Miami,FL,39817,25.893578,-80.370303,single-family,4,3,2212,1908,495000,sold,2024-12-10
LIST-000062,2960 Elm Blvd,Seattle,WA,64008,47.760331,-122.490792,single-family,2,1,1983,1945,625000,active,2025-06-17
LIST-000063,8965 Elm Ave,San Francisco,CA,70981,37.621426,-122.601071,single-family,6,6,2195,1958,990000,active,2026-01-15
LIST-000064,6258 Lincoln Way,Seattle,WA,73335,47.493343,-122.434779,condo,3,3,1524,1958,620000,active,2025-02-23
LIST-000065,4699 Winter Dr,Chicago,IL,75107,41.815182,-87.340505,multi-family,7,6,4799,1999,1420000,active,2025-08-15
LIST-000066,5987 Summer Blvd,Chicago,IL,67779,41.790716,-87.765682,condo,1,1,1130,2015,335000,active,2026-01-03
LIST-000067,5559 Autumn Ave,San Francisco,CA,48684,37.772963,-122.574173,single-family,3,2,800,2006,405000,withdrawn,2025-05-10
LIST-000068,4305 Lincoln Ct,Seattle,WA,26199,47.607812,-122.423735,single-family,5,4,1844,1911,605000,active,2025-06-21
LIST-000069,1921 Birch St,Miami,FL,49608,25.931416,-80.039175,single-family,2,1,2465,1908,670000,sold,2025-10-27
LIST-000070,2541 Forest Ave,New York,NY,80804,40.588678,-73.998406,single-family,6,6,1884,1949,800000,sold,2025-11-29
LIST-000071,5886 Oak Ct,Miami,FL,81364,25.92562,-80.265118,single-family,4,4,800,2009,280000,expired,2025-02-10
LIST-000072,2073 Autumn Dr,Los Angeles,CA,53713,34.26254,-118.327936,condo,0,1,1356,1982,590000,expired,2024-06-09
LIST-000073,2868 Cedar St,San Francisco,CA,27038,37.827295,-122.179128,single-family,3,2,2261,1976,945000,sold,2024-08-21
LIST-000074,5941 Madison Ave,San Francisco,CA,18330,37.807136,-122.584999,condo,0,1,577,1906,195000,sold,2024-07-28
LIST-000075,7277 Pine Ave,Seattle,WA,74260,47.526727,-122.436161,condo,2,2,1203,1961,495000,sold,2024-07-23
LIST-000076,1884 Mission Dr,Los Angeles,CA,66387,34.113076,-118.169117,condo,2,3,1076,1976,435000,sold,2025-08-14
LIST-000077,1408 Pine Ct,Seattle,WA,72163,47.424319,-122.169835,condo,3,3,1361,1985,465000,expired,2025-10-16
LIST-000078,852 Valley Ln,San Francisco,CA,65435,37.848161,-122.646102,condo,2,2,1278,1952,590000,sold,2025-12-04
LIST-000079,9131 Maple Ln,Los Angeles,CA,66244,34.09192,-118.042684,condo,1,1,874,1914,305000,sold,2026-01-17
LIST-000080,512 Pine Dr,San Francisco,CA,19120,37.784071,-122.567902,townhouse,3,3,2112,1923,1095000,sold,2025-03-08
LIST-000081,7967 Washington Pl,Los Angeles,CA,68079,34.135557,-118.090728,single-family,4,4,2359,1996,1070000,sold,2024-11-28
LIST-000082,6485 Washington St,Seattle,WA,50425,47.501944,-122.34412,single-family,2,1,1866,1986,785000,sold,2025-10-01
LIST-000083,5812 Pine Ct,San Francisco,CA,40161,37.804722,-122.26758,single-family,4,3,2064,1995,1160000,active,2025-06-18
LIST-000084,5331 Elm Pl,New York,NY,25096,40.758802,-73.99882,townhouse,3,2,1743,1973,790000,sold,2024-12-11
LIST-000085,1261 Madison Ave,Miami,FL,53655,25.945423,-80.065676,townhouse,2,1,1286,1950,460000,sold,2024-10-20
LIST-000086,1244 Elm Pl,Denver,CO,30036,39.75547,-105.117527,single-family,3,3,1712,1913,315000,active,2025-08-11
LIST-000087,5776 Madison Ave,Seattle,WA,46002,47.457741,-122.452195,condo,2,2,980,1908,275000,sold,2026-01-09
LIST-000088,682 Sunset Dr,Los Angeles,CA,82655,34.194036,-118.179761,townhouse,2,2,1535,1978,645000,pending,2025-07-25
LIST-000089,2610 Lake Way,Los Angeles,CA,67595,34.142819,-118.091435,single-family,2,1,2350,1982,815000,active,2025-04-06
LIST-000090,4138 Summer Blvd,New York,NY,98916,40.734264,-74.188765,condo,0,1,1086,1982,490000,pending,2025-07-08
LIST-000091,8634 Pine Ct,Los Angeles,CA,26750,34.1606,-118.082627,single-family,5,5,929,1939,330000,sold,2025-01-11
LIST-000092,1667 Madison St,Denver,CO,48770,39.728207,-104.953427,multi-family,6,5,2139,1924,435000,active,2024-06-29
LIST-000093,3901 Sunset Ln,Austin,TX,63852,30.111726,-97.908001,condo,1,2,1351,2003,475000,sold,2024-06-03
LIST-000094,6266 Madison Ct,Austin,TX,70513,30.287208,-97.513397,single-family,5,5,1201,1947,315000,sold,2025-04-08
LIST-000095,2636 Ridge Pl,New York,NY,26341,40.777234,-74.260748,single-family,4,4,1328,1970,750000,sold,2025-06-05
LIST-000096,3872 River Ave,New York,NY,61964,40.632932,-73.962334,townhouse,2,1,1068,2013,535000,active,2024-06-11
LIST-000097,7695 Sunset St,Los Angeles,CA,28191,34.086498,-118.262918,townhouse,4,3,1755,1936,720000,sold,2026-02-05
LIST-000098,7499 Pine Ave,New York,NY,16258,40.719448,-73.965989,single-family,6,5,1784,1914,755000,active,2024-08-03
LIST-000099,5918 Pine St,Miami,FL,97584,25.606537,-80.23151,condo,1,1,1095,1945,285000,sold,2025-09-29
LIST-000100,9543 Summer Way,Seattle,WA,96127,47.504564,-122.504548,multi-family,6,4,3243,1902,840000,active,2024-11-04
LIST-000101,727 Autumn Dr,San Francisco,CA,14847,37.704303,-122.27578,condo,3,3,911,1917,310000,sold,2025-04-21
LIST-000102,793 Mission Way,New York,NY,56789,40.666166,-73.850827,single-family,6,5,2151,1932,685000,sold,2024-12-09
LIST-000103,6965 Pine Ct,Los Angeles,CA,44959,33.86643,-118.149919,single-family,5,4,1895,1988,790000,withdrawn,2025-06-08
LIST-000104,7282 Lake Pl,Chicago,IL,65851,41.682139,-87.707114,single-family,2,1,2427,1984,555000,sold,2025-11-09
LIST-000105,520 Birch Pl,San Francisco,CA,99051,37.648701,-122.206917,multi-family,6,4,5129,1909,2305000,sold,2025-06-03
LIST-000106,1269 Lincoln Blvd,San Francisco,CA,58760,37.785307,-122.492101,single-family,5,5,1917,1977,880000,sold,2025-02-13
LIST-000107,3525 Washington Ln,Denver,CO,44116,39.655362,-105.139496,single-family,2,2,2036,1949,625000,active,2025-12-23
LIST-000108,5246 Market Way,Austin,TX,99381,30.336511,-97.49517,single-family,2,1,1397,1922,365000,sold,2024-07-08
LIST-000109,9087 Lincoln Way,Austin,TX,74752,30.225293,-97.555892,single-family,3,3,2293,1915,600000,sold,2024-10-31
LIST-000110,9429 Pine Blvd,Seattle,WA,63843,47.759296,-122.09099,townhouse,2,1,1240,1950,520000,sold,2025-06-13
LIST-000111,917 Cedar Blvd,New York,NY,75911,40.541135,-73.932374,condo,2,3,1280,1975,520000,expired,2025-04-02
LIST-000112,4971 Washington Ave,Los Angeles,CA,45972,34.135328,-118.287314,single-family,6,5,1432,2008,515000,active,2025-07-02
LIST-000113,3463 Winter Ct,Denver,CO,85598,39.825534,-105.033446,single-family,6,5,2524,2005,925000,active,2025-09-11
LIST-000114,991 Elm Pl,Chicago,IL,69446,41.908143,-87.66361,single-family,4,3,1454,1931,340000,sold,2024-12-18
LIST-000115,7376 Hill Blvd,Seattle,WA,71141,47.523799,-122.140031,single-family,4,3,2413,1947,820000,active,2024-11-04
LIST-000116,2620 Sunrise Pl,San Francisco,CA,50988,37.684318,-122.317273,condo,1,1,1075,2015,560000,pending,2025-07-23
LIST-000117,4691 Jefferson St,Denver,CO,95755,39.86298,-104.966692,townhouse,4,3,1972,1945,395000,active,2025-08-08
LIST-000118,6339 Madison Pl,Miami,FL,82512,25.871026,-80.302319,condo,3,4,1056,1951,255000,sold,2025-02-06
LIST-000119,6586 Madison St,Miami,FL,36090,25.880539,-80.200859,condo,0,1,1338,1943,410000,pending,2024-08-21
LIST-000120,6448 Washington Ln,San Francisco,CA,90356,37.733345,-122.327954,single-family,5,5,2431,1977,1570000,active,2026-04-24
LIST-000121,446 Washington Pl,Chicago,IL,50327,41.71798,-87.642942,single-family,6,5,1991,1942,465000,expired,2025-07-28
LIST-000122,6239 Birch Dr,Los Angeles,CA,91230,34.231758,-118.282146,condo,1,1,1108,1974,435000,sold,2025-11-12
LIST-000123,8508 Walnut Way,San Francisco,CA,18163,37.943977,-122.242677,single-family,4,3,2633,1952,1315000,sold,2025-05-02
LIST-000124,4341 Washington Pl,New York,NY,99226,40.601394,-73.862357,multi-family,7,5,4197,1943,1820000,sold,2026-03-05
LIST-000125,9405 Market Ct,Los Angeles,CA,45842,33.94774,-118.291873,single-family,4,3,1843,1962,645000,pending,2026-04-26
LIST-000126,7859 Walnut Dr,New York,NY,67983,40.633184,-73.851726,condo,1,2,659,1936,325000,active,2026-04-18
LIST-000127,7749 Cedar Blvd,Miami,FL,64172,25.653216,-80.241268,single-family,2,2,2142,1967,610000,active,2024-07-17
LIST-000128,1475 Mission Dr,San Francisco,CA,47409,37.925678,-122.510485,single-family,5,4,2992,1983,1435000,expired,2025-01-05
LIST-000129,4752 Oak St,Denver,CO,74930,39.915759,-105.086813,townhouse,2,1,1883,2017,480000,sold,2026-01-03
LIST-000130,1855 Park Blvd,Los Angeles,CA,45761,34.20969,-118.335411,single-family,5,4,1848,2013,1010000,sold,2025-04-29
LIST-000131,1431 River Ave,Austin,TX,66059,30.231652,-97.948991,single-family,4,3,1180,1922,270000,sold,2025-03-11
LIST-000132,9396 Maple Ln,Los Angeles,CA,49576,34.014521,-118.152473,single-family,4,3,1682,1930,550000,active,2025-01-12
LIST-000133,4843 Lake Dr,Chicago,IL,25389,42.05146,-87.534,single-family,4,4,1512,2014,495000,sold,2025-10-19
LIST-000134,4064 Market Ave,Los Angeles,CA,97044,34.09924,-118.162173,condo,2,2,1298,1970,605000,sold,2026-01-13
LIST-000135,3375 Spring Pl,Denver,CO,78202,39.633456,-104.827818,townhouse,2,2,2110,1925,510000,active,2025-01-10
LIST-000136,6497 Ridge St,San Francisco,CA,50392,37.832901,-122.609279,single-family,6,5,959,1958,500000,sold,2025-10-05
LIST-000137,6897 Lake Ct,Austin,TX,27750,30.431588,-97.687427,single-family,2,2,2308,2019,715000,active,2024-09-17
LIST-000138,3658 Maple St,Seattle,WA,61518,47.451311,-122.109466,single-family,6,6,2009,1983,900000,active,2025-06-22
LIST-000139,6878 Washington St,New York,NY,24790,40.683227,-74.204384,single-family,5,5,2108,1935,740000,sold,2025-12-16
LIST-000140,934 Birch Ln,Los Angeles,CA,38477,34.003661,-118.282948,single-family,2,2,2653,1994,895000,sold,2025-06-24
LIST-000141,2879 Mission Ct,Los Angeles,CA,82970,33.860782,-118.363455,condo,2,3,1723,1966,580000,pending,2024-06-17
LIST-000142,8823 Sunrise Dr,Denver,CO,59343,39.711937,-104.937716,condo,3,3,486,1940,130000,sold,2024-12-19
LIST-000143,7379 Lake Ave,Miami,FL,94765,25.729166,-80.3241,condo,0,1,1475,1917,370000,active,2025-01-12
LIST-000144,7864 Walnut Way,Denver,CO,98008,39.933656,-104.905426,single-family,6,6,1946,2011,500000,sold,2025-07-31
LIST-000145,6246 Sunset Way,Los Angeles,CA,52154,34.103236,-117.991953,single-family,2,1,2894,1990,1055000,withdrawn,2025-07-03
LIST-000146,2400 Maple Ln,Los Angeles,CA,83731,34.152279,-118.353179,single-family,5,4,1626,2017,645000,pending,2024-06-05
LIST-000147,8015 Summer Pl,Denver,CO,54245,39.70696,-105.210175,single-family,3,2,2197,1931,525000,sold,2025-10-14
LIST-000148,1227 Market St,Seattle,WA,17698,47.490754,-122.103077,single-family,6,5,2873,1923,1050000,sold,2025-09-11
LIST-000149,267 Maple Ct,Miami,FL,73334,25.841142,-80.326003,single-family,3,3,2229,1907,600000,sold,2025-08-22
LIST-000150,1588 Madison Blvd,San Francisco,CA,33496,37.749528,-122.214573,multi-family,4,2,4065,2004,2655000,sold,2026-04-30
LIST-000151,1330 Mission St,Los Angeles,CA,99658,34.049506,-118.029717,single-family,5,5,1672,1972,580000,sold,2024-12-19
LIST-000152,1572 Madison St,San Francisco,CA,53420,37.643731,-122.476451,single-family,2,2,2538,1910,1060000,sold,2025-12-31
LIST-000153,3404 Lincoln Blvd,Los Angeles,CA,51220,33.976354,-118.484988,condo,2,3,1710,2015,795000,sold,2024-09-17
LIST-000154,2302 Autumn Ave,Austin,TX,80852,30.114579,-97.6118,single-family,3,3,2715,1972,840000,pending,2026-03-28
LIST-000155,7391 Sunrise Dr,Denver,CO,93115,39.948982,-104.894599,single-family,2,1,1446,1976,390000,sold,2024-05-24
LIST-000156,6235 Spring Blvd,Los Angeles,CA,20752,33.853431,-118.134193,condo,3,4,845,1979,310000,active,2024-06-27
LIST-000157,1702 Maple Ave,Austin,TX,82710,30.366585,-97.652032,single-family,4,3,1796,1916,310000,sold,2025-07-07
LIST-000158,3987 Lincoln Blvd,Los Angeles,CA,83339,33.996122,-118.291616,single-family,5,5,2466,1937,820000,sold,2025-11-15
LIST-000159,8133 Washington Dr,Austin,TX,42321,30.256203,-97.636496,single-family,3,3,2339,1938,545000,active,2024-11-12
LIST-000160,2240 Valley Way,Seattle,WA,95332,47.689028,-122.326873,single-family,6,5,2518,2002,1205000,sold,2025-03-31
LIST-000161,6447 Lake Ave,Chicago,IL,59290,41.691929,-87.596631,single-family,5,4,1861,1962,530000,sold,2025-01-09
LIST-000162,1143 Autumn Ct,New York,NY,67469,40.813459,-74.008282,single-family,6,6,2993,2021,1840000,withdrawn,2024-10-10
LIST-000163,5900 Spring Ave,Austin,TX,64827,30.239817,-97.651125,single-family,3,2,2157,1976,580000,sold,2025-05-29
LIST-000164,7062 Cedar St,San Francisco,CA,53463,37.717593,-122.541457,single-family,6,6,1871,1972,1230000,sold,2025-03-07
LIST-000165,6825 Pine Ave,San Francisco,CA,73277,37.772802,-122.55363,condo,1,1,699,1975,410000,active,2024-05-20
LIST-000166,4929 Oak Ave,Miami,FL,69303,25.650221,-80.017611,single-family,3,2,2752,1944,815000,sold,2025-10-24
LIST-000167,7090 River St,San Francisco,CA,92543,37.876883,-122.31353,condo,1,1,845,1954,515000,active,2025-03-11
LIST-000168,8806 Elm Way,Austin,TX,18200,30.066083,-97.666751,single-family,2,2,1927,1926,385000,sold,2026-01-09
LIST-000169,4883 Washington Ave,Los Angeles,CA,90918,34.040387,-118.060376,townhouse,4,3,1249,1975,410000,pending,2025-04-21
LIST-000170,7983 Mission Blvd,Austin,TX,60293,30.276242,-97.59754,single-family,4,4,1627,1965,400000,sold,2025-07-21
LIST-000171,6713 Market Pl,Denver,CO,76248,39.839432,-104.832139,single-family,5,5,3080,1962,695000,sold,2025-07-11
LIST-000172,9277 Summer Pl,Seattle,WA,32047,47.400311,-122.310381,single-family,2,2,994,1937,250000,active,2024-12-11
LIST-000173,4887 Oak Pl,Denver,CO,95678,39.796293,-104.925497,condo,2,2,1121,1956,300000,expired,2024-07-19
LIST-000174,2729 Washington Blvd,Los Angeles,CA,89988,34.230869,-118.112514,townhouse,2,2,1024,1926,385000,sold,2025-01-28
LIST-000175,1570 Birch Ct,Miami,FL,77425,25.831041,-80.403815,condo,2,2,1509,1937,395000,active,2026-02-26
LIST-000176,2339 Lincoln Ln,New York,NY,98635,40.863337,-74.225509,single-family,3,3,3553,1918,1490000,sold,2025-12-13
LIST-000177,1536 Summer Pl,Chicago,IL,86278,,,condo,0,1,1099,2012,285000,expired,2025-01-10
LIST-000178,9478 Birch Pl,Chicago,IL,47171,41.988747,-87.834052,condo,3,4,637,1954,165000,sold,2025-01-06
LIST-000179,2171 Mission Ln,Miami,FL,36518,25.778081,-80.427575,single-family,5,5,2941,1956,900000,expired,2025-03-29
LIST-000180,3846 Forest Ave,San Francisco,CA,91999,37.742197,-122.147337,condo,2,3,1516,1985,1010000,active,2025-03-04
LIST-000181,3761 River Ave,Austin,TX,27324,30.259855,-97.741852,single-family,3,2,3023,2004,745000,sold,2025-10-22
LIST-000182,8701 Lincoln St,Austin,TX,98753,30.23926,-97.666167,townhouse,2,1,1735,1999,585000,sold,2025-09-11
LIST-000183,6301 Lake Ct,Chicago,IL,26142,41.82392,-87.531201,single-family,3,2,1616,1927,265000,active,2025-12-06
LIST-000184,3376 Madison Dr,Los Angeles,CA,96298,34.037998,-118.143505,single-family,6,5,1667,1999,870000,active,2026-02-17
LIST-000185,2172 River Ct,Austin,TX,57329,30.382514,-97.69544,townhouse,2,1,1476,1981,425000,sold,2024-05-10
LIST-000186,6530 Madison Ln,Los Angeles,CA,17925,34.067067,-118.46763,multi-family,4,4,3590,1975,1150000,active,2024-05-31
LIST-000187,6411 Lincoln Ave,Chicago,IL,30365,41.740656,-87.521306,condo,0,1,932,1910,160000,sold,2024-10-05
LIST-000188,2887 Cedar St,Los Angeles,CA,17212,34.194838,-118.295566,single-family,3,3,2019,2018,900000,sold,2025-08-16
LIST-000189,1944 Winter St,Austin,TX,45227,30.364413,-97.555924,multi-family,8,6,3462,1921,715000,sold,2026-03-10
LIST-000190,2587 Ridge Ave,Los Angeles,CA,84302,33.90628,-118.270296,single-family,6,6,1162,1963,435000,pending,2025-05-24
LIST-000191,6880 Hill Way,New York,NY,14635,40.851255,-73.844281,condo,0,1,1246,1960,525000,withdrawn,2024-09-17
LIST-000192,6578 Pine Pl,Los Angeles,CA,77603,33.960507,-118.008264,condo,2,3,929,1986,455000,active,2026-01-15
LIST-000193,8093 Winter Dr,New York,NY,58270,40.639073,-73.763444,single-family,5,5,1761,2000,830000,sold,2025-04-26
LIST-000194,33 Winter Ct,Austin,TX,11257,30.314632,-97.927901,single-family,5,5,2465,1929,570000,sold,2025-10-21
LIST-000195,8525 Forest Way,Miami,FL,40339,25.914235,-80.062206,single-family,3,2,1889,1918,555000,active,2026-04-16
LIST-000196,5171 Autumn Ct,Seattle,WA,41034,47.435972,-122.472499,single-family,5,5,2110,1975,815000,sold,2024-08-10
LIST-000197,8790 Lake Dr,Austin,TX,51160,30.187105,-97.539616,single-family,2,2,2775,1913,495000,active,2025-04-27
LIST-000198,6502 Madison St,Seattle,WA,42534,47.698237,-122.513954,single-family,4,4,2876,1927,1035000,pending,2024-07-10
LIST-000199,3651 Birch Dr,Austin,TX,25919,30.381883,-97.750887,single-family,5,4,1388,1912,285000,sold,2024-08-17
LIST-000200,2120 Pine Way,Miami,FL,94670,25.667822,-80.30322,condo,2,2,969,1909,190000,active,2026-04-01
LIST-000201,2445 Oak Dr,San Francisco,CA,46042,37.982556,-122.332874,townhouse,3,2,1307,1954,555000,active,2024-09-23
LIST-000202,8917 Autumn St,Chicago,IL,78919,41.995949,-87.773317,single-family,2,1,2114,1949,390000,active,2026-03-19
LIST-000203,4612 Oak Pl,New York,NY,38707,40.58671,-73.80262,single-family,5,4,2704,1949,1050000,active,2025-08-07
LIST-000204,3604 Lincoln Ct,Denver,CO,17328,39.936428,-104.990935,multi-family,4,4,2707,1984,695000,sold,2026-01-05
LIST-000205,9235 Walnut Pl,Los Angeles,CA,84403,34.16841,-118.449472,single-family,6,5,2420,2016,1155000,sold,2025-01-29
LIST-000206,2147 Park Blvd,Denver,CO,90495,39.830896,-104.961304,single-family,6,6,1229,1902,260000,active,2026-04-13
LIST-000207,1665 Park Ln,New York,NY,96787,40.620486,-73.761646,single-family,6,6,2277,2010,1145000,active,2025-10-30
LIST-000208,3667 Market Blvd,Los Angeles,CA,90440,34.02758,-118.510588,single-family,5,4,952,1922,340000,sold,2026-03-22
LIST-000209,9275 Cedar Pl,Los Angeles,CA,90134,33.998929,-118.019858,single-family,2,1,2709,1972,840000,sold,2026-04-16
LIST-000210,5510 Sunset St,San Francisco,CA,93768,37.789552,-122.174099,multi-family,5,3,2092,2013,1565000,sold,2025-10-03
LIST-000211,6159 Cedar Pl,Los Angeles,CA,59638,34.154655,-118.18759,single-family,2,2,2715,1953,1220000,sold,2025-05-18
