school_id,school_name,city,state,school_type,rating_1_10,enrollment,latitude,longitude
SCH-00225,Winter Elementary School,Chicago,IL,elementary,6,802,42.113698,-87.722623
SCH-00226,Summer K-12 School,San Francisco,CA,K-12,10,505,37.592096,-122.267774
SCH-00227,Park Middle School,Chicago,IL,middle,6,480,42.101262,-87.658517
SCH-00228,Walnut Elementary School,San Francisco,CA,elementary,8,543,37.828716,-122.622901
SCH-00229,Maple High School,Miami,FL,high,10,975,25.750037,-80.035764
SCH-00230,Sunrise High School,Los Angeles,CA,high,6,785,33.974929,-118.125725
SCH-00231,Maple Charter School,Miami,FL,charter,6,419,25.837558,-80.476826
SCH-00232,Sunset Elementary School,Seattle,WA,elementary,7,389,47.353543,-122.400956
SCH-00233,Oak Elementary School,New York,NY,elementary,7,672,40.777768,-73.667595
SCH-00234,Oak High School,Denver,CO,high,9,652,39.658428,-104.852722
SCH-00235,Market Elementary School,New York,NY,elementary,7,385,40.664949,-74.200121
SCH-00236,Sunset High School,Los Angeles,CA,high,6,630,34.23108,-118.275642
SCH-00237,River High School,Austin,TX,high,7,447,30.256508,-98.001582
SCH-00238,Sunset High School,Los Angeles,CA,high,8,659,33.901283,-118.085722
SCH-00239,River Elementary School,San Francisco,CA,elementary,7,596,37.754411,-122.501721
SCH-00240,Lake Elementary School,Los Angeles,CA,elementary,10,329,34.23229,-118.256642
SCH-00241,Winter Elementary School,San Francisco,CA,elementary,7,557,37.978512,-122.629206
SCH-00242,Park Elementary School,Miami,FL,elementary,9,305,25.655116,-80.289718
SCH-00243,Forest High School,San Francisco,CA,high,7,499,37.845335,-122.168394
SCH-00244,Autumn Elementary School,Los Angeles,CA,elementary,8,677,34.207221,-118.086056
SCH-00245,Birch Middle School,Los Angeles,CA,middle,9,703,33.85631,-118.145716
SCH-00246,Cedar High School,New York,NY,high,7,496,40.890163,-73.924695
SCH-00247,Spring Charter School,Miami,FL,charter,8,1090,25.953925,-80.395716
SCH-00248,Spring Elementary School,New York,NY,elementary,6,382,40.822138,-74.172084
SCH-00249,Park Elementary School,Austin,TX,elementary,9,831,30.063676,-97.822005
SCH-00250,Washington High School,San Francisco,CA,high,6,354,37.683646,-122.49688
SCH-00251,Cedar Charter School,Denver,CO,charter,5,626,39.986923,-104.975357
SCH-00252,Hill Middle School,Chicago,IL,middle,7,1007,41.717331,-87.375382
SCH-00253,Madison Elementary School,Austin,TX,elementary,6,253,30.298596,-97.688727
SCH-00254,Sunrise High School,New York,NY,high,6,804,40.444977,-73.992398
SCH-00255,Summer Middle School,Los Angeles,CA,middle,6,685,34.025363,-118.038026
SCH-00256,Jefferson Elementary School,New York,NY,elementary,6,698,40.841585,-73.966122
SCH-00257,Market Elementary School,Los Angeles,CA,elementary,7,781,33.858839,-118.132394
SCH-00258,Sunset K-12 School,San Francisco,CA,K-12,9,378,37.536329,-122.367766
SCH-00259,Market High School,New York,NY,high,5,597,40.728619,-74.332422
SCH-00260,Market Elementary School,Denver,CO,elementary,7,635,39.660176,-104.856318
SCH-00261,Valley Elementary School,Denver,CO,elementary,8,667,39.473321,-105.007097
SCH-00262,Spring Elementary School,Seattle,WA,elementary,7,607,47.682963,-122.453777
SCH-00263,Sunrise Elementary School,San Francisco,CA,elementary,7,823,37.843972,-122.640506
SCH-00264,Sunset K-12 School,Los Angeles,CA,K-12,9,174,34.073103,-118.099822
SCH-00265,Market Elementary School,Seattle,WA,elementary,9,934,47.576517,-122.672707
SCH-00266,Valley Elementary School,Chicago,IL,elementary,5,788,42.117291,-87.591207
SCH-00267,Maple High School,San Francisco,CA,high,4,872,37.560055,-122.415974
SCH-00268,Jefferson Middle School,San Francisco,CA,middle,6,328,37.759974,-122.646626
SCH-00269,Birch Charter School,Denver,CO,charter,7,270,39.87833,-104.820987
SCH-00270,River Elementary School,New York,NY,elementary,8,265,40.799764,-74.166161
SCH-00271,Walnut Middle School,Los Angeles,CA,middle,7,993,34.229122,-118.395308
SCH-00272,Sunset Elementary School,San Francisco,CA,elementary,7,558,37.669162,-122.455752
SCH-00273,Winter K-12 School,Chicago,IL,K-12,6,411,41.963588,-87.658915
SCH-00274,Sunrise Elementary School,Los Angeles,CA,elementary,5,815,34.052835,-117.953896
SCH-00275,Elm Charter School,Los Angeles,CA,charter,8,970,34.036688,-118.450221
SCH-00276,Market High School,San Francisco,CA,high,10,681,37.675421,-122.294076
SCH-00277,Washington High School,Los Angeles,CA,high,5,343,34.28411,-118.397926
SCH-00278,Pine Charter School,Denver,CO,charter,9,947,39.541895,-104.78639
SCH-00279,Lincoln High School,Los Angeles,CA,high,7,343,33.842824,-118.345085
SCH-00280,Sunrise Middle School,Los Angeles,CA,middle,6,881,34.10443,-118.501388
SCH-00281,Mission High School,Los Angeles,CA,high,5,399,33.96611,-118.418084
SCH-00282,Winter Elementary School,New York,NY,elementary,8,617,40.846618,-74.03074
SCH-00283,Walnut High School,San Francisco,CA,high,5,547,37.7424,-122.330875
SCH-00284,Winter Elementary School,Los Angeles,CA,elementary,7,834,33.911885,-118.024382
SCH-00285,Park High School,Los Angeles,CA,high,10,60,33.84004,-118.296936
SCH-00286,Jefferson Middle School,San Francisco,CA,middle,6,883,37.58558,-122.594678
SCH-00287,Birch Elementary School,San Francisco,CA,elementary,7,586,37.750848,-122.75733
SCH-00288,Pine Middle School,Seattle,WA,middle,7,176,47.540233,-122.275436
SCH-00289,Pine High School,Chicago,IL,high,6,585,41.85497,-87.854359
SCH-00290,Oak High School,San Francisco,CA,high,8,264,37.991739,-122.550111
SCH-00291,Park High School,Los Angeles,CA,high,9,391,33.961792,-118.525746
SCH-00292,Summer Elementary School,Seattle,WA,elementary,8,355,47.705897,-122.308575
SCH-00293,Hill Elementary School,Chicago,IL,elementary,5,662,41.887928,-87.5713
SCH-00294,Forest Elementary School,Denver,CO,elementary,10,580,39.553151,-105.168632
SCH-00295,Cedar Elementary School,Austin,TX,elementary,8,792,30.104384,-97.769117
SCH-00296,Cedar Charter School,Miami,FL,charter,5,438,25.846294,-80.161818
SCH-00297,Lincoln Elementary School,New York,NY,elementary,7,548,40.479204,-73.837606
SCH-00298,Sunrise Elementary School,Seattle,WA,elementary,5,475,47.500202,-122.134804
SCH-00299,Jefferson High School,Miami,FL,high,6,687,25.708619,-80.245064
SCH-00300,Ridge Elementary School,Seattle,WA,elementary,9,608,47.528804,-122.492693
SCH-00301,Pine Elementary School,New York,NY,elementary,6,379,40.868544,-74.207624
SCH-00302,Ridge Elementary School,Miami,FL,elementary,8,602,25.602613,-80.425834
SCH-00303,Maple K-12 School,Los Angeles,CA,K-12,8,817,34.164052,-118.184926
SCH-00304,Oak Middle School,Denver,CO,middle,5,300,39.638132,-105.258634
SCH-00305,Walnut Charter School,Los Angeles,CA,charter,8,427,33.820102,-118.196856
SCH-00306,Birch Middle School,San Francisco,CA,middle,6,275,37.740705,-122.61924
SCH-00307,Washington Middle School,Chicago,IL,middle,8,713,41.933685,-87.324422
SCH-00308,Autumn Charter School,Miami,FL,charter,7,619,25.99736,-80.29968
SCH-00309,Maple Elementary School,Miami,FL,elementary,9,810,25.675761,-80.022839
SCH-00310,Sunset Elementary School,Chicago,IL,elementary,6,350,41.686867,-87.795961
SCH-00311,Pine High School,Miami,FL,high,6,449,25.840775,-80.271327
SCH-00312,Ridge Elementary School,Seattle,WA,elementary,8,574,47.46709,-122.040857
SCH-00313,Sunset K-12 School,Denver,CO,K-12,8,630,39.714138,-105.210385
SCH-00314,Birch Elementary School,Miami,FL,elementary,8,602,25.808562,-80.118869
SCH-00315,Elm Charter School,New York,NY,charter,5,642,40.508283,-74.009706
SCH-00316,Elm High School,San Francisco,CA,high,6,504,37.912936,-122.188652
SCH-00317,Autumn Elementary School,Los Angeles,CA,elementary,6,582,33.951784,-117.952259
SCH-00318,Washington Elementary School,New York,NY,elementary,8,647,40.505473,-74.133068
SCH-00319,Jefferson Elementary School,Seattle,WA,elementary,7,720,47.801051,-122.131578
SCH-00320,Forest Charter School,Los Angeles,CA,charter,5,481,34.240561,-118.122748
SCH-00321,Walnut Elementary School,Chicago,IL,elementary,9,462,41.93625,-87.599864
SCH-00322,Maple Elementary School,Seattle,WA,elementary,8,678,47.635428,-122.299441
SCH-00323,Pine Elementary School,Austin,TX,elementary,7,502,30.067035,-97.582444
SCH-00324,Sunset Middle School,New York,NY,middle,8,435,40.768364,-74.107051
SCH-00325,Sunrise Charter School,Seattle,WA,charter,7,1300,47.446419,-122.315565
SCH-00326,Birch Elementary School,Los Angeles,CA,elementary,6,454,34.091825,-118.388784
SCH-00327,Jefferson Elementary School,Chicago,IL,elementary,8,962,42.000014,-87.47299
SCH-00328,Mission High School,Austin,TX,high,7,326,30.322261,-97.596707
SCH-00329,Summer High School,Los Angeles,CA,high,8,831,34.03741,-118.013609
SCH-00330,Jefferson Elementary School,Seattle,WA,elementary,7,812,47.691305,-122.577414
SCH-00331,Washington Elementary School,Denver,CO,elementary,6,317,39.85489,-105.042329
SCH-00332,Summer Elementary School,Seattle,WA,elementary,5,321,47.453216,-122.255125
SCH-00333,Valley High School,Los Angeles,CA,high,7,258,33.927729,-118.363896
