date,ticker,close,volume
2024-04-19,DIGX,104.94,42633
2024-04-20,DIGX,108.23,55539
2024-04-21,DIGX,108.58,55476
2024-04-22,DIGX,105.17,42050
2024-04-23,DIGX,104.36,63583
2024-04-24,DIGX,105.43,70880
2024-04-25,DIGX,106.44,72192
2024-04-26,DIGX,107.16,36109
2024-04-27,DIGX,109.62,53964
2024-04-28,DIGX,110.54,52522
2024-04-29,DIGX,107.02,51992
2024-04-30,DIGX,104.98,35952
2024-05-01,DIGX,104.12,43829
2024-05-02,DIGX,102.99,48786
2024-05-03,DIGX,104.81,73866
2024-05-04,DIGX,108.37,49413
2024-05-05,DIGX,109.4,47419
2024-05-06,DIGX,107.46,49601
2024-05-07,DIGX,106.24,50890
2024-05-08,DIGX,104.19,55185
2024-05-09,DIGX,104.72,37234
2024-05-10,DIGX,105.08,56531
2024-05-11,DIGX,104.96,55604
2024-05-12,DIGX,106.84,68393
2024-05-13,DIGX,103.74,48688
2024-05-14,DIGX,105.5,67716
2024-05-15,DIGX,106.39,58905
2024-05-16,DIGX,104.54,43104
2024-05-17,DIGX,108.07,46639
2024-05-18,DIGX,111.22,41394
2024-05-19,DIGX,109.78,31150
2024-05-20,DIGX,108.32,53126
2024-05-21,DIGX,110.83,51956
2024-05-22,DIGX,109.22,33335
2024-05-23,DIGX,108.54,61203
2024-05-24,DIGX,109.44,64535
2024-05-25,DIGX,110.32,49450
2024-05-26,DIGX,110.63,52043
2024-05-27,DIGX,106.07,70277
2024-05-28,DIGX,107.06,37544
2024-05-29,DIGX,107.84,53412
2024-05-30,DIGX,109.36,67122
2024-05-31,DIGX,104.49,56581
2024-06-01,DIGX,108.22,38752
2024-06-02,DIGX,105.73,53315
2024-06-03,DIGX,105.49,54157
2024-06-04,DIGX,104.6,44455
2024-06-05,DIGX,106.08,58845
2024-06-06,DIGX,110.12,53491
2024-06-07,DIGX,108.72,21968
2024-06-08,DIGX,110.41,48432
2024-06-09,DIGX,109.87,38256
2024-06-10,DIGX,108.89,28690
2024-06-11,DIGX,108.75,51439
2024-06-12,DIGX,109.05,65517
2024-06-13,DIGX,108.77,51120
2024-06-14,DIGX,110.13,31553
2024-06-15,DIGX,109.42,50806
2024-06-16,DIGX,110.94,40474
2024-06-17,DIGX,109.81,54575
2024-06-18,DIGX,107.09,32387
2024-06-19,DIGX,105.52,51663
2024-06-20,DIGX,107.06,58618
2024-06-21,DIGX,109.09,43424
2024-06-22,DIGX,110.9,59759
2024-06-23,DIGX,111.3,55711
2024-06-24,DIGX,107.06,54308
2024-06-25,DIGX,106.1,35788
2024-06-26,DIGX,106.61,51661
2024-06-27,DIGX,107.5,46061
2024-06-28,DIGX,106.78,52224
2024-06-29,DIGX,106.82,33204
2024-06-30,DIGX,108.21,67341
2024-07-01,DIGX,106.49,37332
2024-07-02,DIGX,109.45,70431
2024-07-03,DIGX,108.99,47481
2024-07-04,DIGX,109.57,85226
2024-07-05,DIGX,109.94,61870
2024-07-06,DIGX,110.76,28274
2024-07-07,DIGX,109.11,35282
2024-07-08,DIGX,108.44,51269
2024-07-09,DIGX,111.45,46772
2024-07-10,DIGX,111.32,50898
2024-07-11,DIGX,111.09,77675
2024-07-12,DIGX,111.28,67588
2024-07-13,DIGX,113.03,42744
2024-07-14,DIGX,113.38,45446
2024-07-15,DIGX,110.86,51890
2024-07-16,DIGX,110.5,44387
2024-07-17,DIGX,112.69,46830
2024-07-18,DIGX,112.95,70082
2024-07-19,DIGX,113.12,62273
2024-07-20,DIGX,114.49,63017
2024-07-21,DIGX,115.99,32917
2024-07-22,DIGX,115.44,50333
2024-07-23,DIGX,110.96,42338
2024-07-24,DIGX,108.7,49740
2024-07-25,DIGX,107.2,37957
2024-07-26,DIGX,109.01,51877
2024-07-27,DIGX,108.67,47195
2024-07-28,DIGX,109.61,50895
2024-07-29,DIGX,108.48,47352
2024-07-30,DIGX,110.49,30765
2024-07-31,DIGX,109.86,51598
2024-08-01,DIGX,109.7,43383
2024-08-02,DIGX,109.67,52502
2024-08-03,DIGX,112.28,47776
2024-08-04,DIGX,111.83,54264
2024-08-05,DIGX,109.69,26817
2024-08-06,DIGX,110.48,45476
2024-08-07,DIGX,109.86,57533
2024-08-08,DIGX,110.49,43233
2024-08-09,DIGX,107.69,29374
2024-08-10,DIGX,109.27,48593
2024-08-11,DIGX,111.06,52676
2024-08-12,DIGX,108.96,34830
2024-08-13,DIGX,108.09,48331
2024-08-14,DIGX,107.56,59062
2024-08-15,DIGX,107.06,28512
2024-08-16,DIGX,108.56,28711
2024-08-17,DIGX,112.38,38098
2024-08-18,DIGX,112.46,47072
2024-08-19,DIGX,109.48,28797
2024-08-20,DIGX,107.4,60374
2024-08-21,DIGX,110.49,75955
2024-08-22,DIGX,108.89,56725
2024-08-23,DIGX,110.14,60144
2024-08-24,DIGX,110.32,58657
2024-08-25,DIGX,112.66,57276
2024-08-26,DIGX,113.13,47904
2024-08-27,DIGX,115.0,41593
2024-08-28,DIGX,116.52,17041
2024-08-29,DIGX,115.14,40394
2024-08-30,DIGX,114.35,62374
2024-08-31,DIGX,115.03,51139
2024-09-01,DIGX,117.06,32288
2024-09-02,DIGX,112.72,68119
2024-09-03,DIGX,113.03,25105
2024-09-04,DIGX,113.37,35788
2024-09-05,DIGX,115.42,63725
2024-09-06,DIGX,113.83,65521
2024-09-07,DIGX,112.48,61042
2024-09-08,DIGX,113.84,48476
2024-09-09,DIGX,109.84,46643
2024-09-10,DIGX,107.36,43238
2024-09-11,DIGX,106.52,64585
2024-09-12,DIGX,107.42,20815
2024-09-13,DIGX,110.45,54427
2024-09-14,DIGX,110.9,75409
2024-09-15,DIGX,113.23,50796
2024-09-16,DIGX,110.73,14532
2024-09-17,DIGX,112.21,61524
2024-09-18,DIGX,111.69,33044
2024-09-19,DIGX,112.29,29934
2024-09-20,DIGX,112.87,59251
2024-09-21,DIGX,115.62,53182
2024-09-22,DIGX,115.55,58998
2024-09-23,DIGX,115.43,46168
2024-09-24,DIGX,112.83,40500
2024-09-25,DIGX,111.21,39333
2024-09-26,DIGX,111.98,54114
2024-09-27,DIGX,113.01,50838
2024-09-28,DIGX,113.03,55081
2024-09-29,DIGX,115.03,59116
2024-09-30,DIGX,115.36,46518
2024-10-01,DIGX,114.37,70333
2024-10-02,DIGX,114.52,54955
2024-10-03,DIGX,113.93,61625
2024-10-04,DIGX,113.57,37908
2024-10-05,DIGX,113.96,44692
2024-10-06,DIGX,115.68,45467
2024-10-07,DIGX,113.84,47395
2024-10-08,DIGX,114.39,42436
2024-10-09,DIGX,116.02,32913
2024-10-10,DIGX,114.95,41497
2024-10-11,DIGX,115.93,50479
2024-10-12,DIGX,116.44,46039
2024-10-13,DIGX,115.08,36566
2024-10-14,DIGX,112.89,43574
2024-10-15,DIGX,113.81,54257
2024-10-16,DIGX,115.57,48720
2024-10-17,DIGX,114.24,37266
2024-10-18,DIGX,114.71,54330
2024-10-19,DIGX,117.96,52182
2024-10-20,DIGX,119.91,72478
2024-10-21,DIGX,115.08,64524
2024-10-22,DIGX,116.64,66145
2024-10-23,DIGX,116.05,61460
2024-10-24,DIGX,115.07,49158
2024-10-25,DIGX,115.31,71394
2024-10-26,DIGX,115.23,61461
2024-10-27,DIGX,115.72,41491
2024-10-28,DIGX,114.42,57919
2024-10-29,DIGX,113.56,57611
2024-10-30,DIGX,113.11,39476
2024-10-31,DIGX,114.34,47176
2024-11-01,DIGX,113.45,30445
2024-11-02,DIGX,114.5,52917
2024-11-03,DIGX,114.58,52249
2024-11-04,DIGX,111.14,54710
2024-11-05,DIGX,113.24,53336
2024-11-06,DIGX,113.18,50951
2024-11-07,DIGX,114.37,62833
2024-11-08,DIGX,115.49,53045
2024-11-09,DIGX,114.83,60344
2024-11-10,DIGX,117.36,44077
2024-11-11,DIGX,116.32,53697
2024-11-12,DIGX,116.04,34572
2024-11-13,DIGX,118.67,27615
2024-11-14,DIGX,118.33,45487
2024-11-15,DIGX,119.48,44928
2024-11-16,DIGX,118.69,57325
2024-11-17,DIGX,118.92,43768
2024-11-18,DIGX,117.52,54698
2024-11-19,DIGX,118.49,43876
2024-11-20,DIGX,117.69,45312
2024-11-21,DIGX,116.1,53053
2024-11-22,DIGX,117.05,67004
2024-11-23,DIGX,116.69,54638
2024-11-24,DIGX,118.76,48635
2024-11-25,DIGX,116.62,51605
2024-11-26,DIGX,115.51,38170
2024-11-27,DIGX,117.61,52071
2024-11-28,DIGX,117.32,35132
2024-11-29,DIGX,117.53,64037
2024-11-30,DIGX,115.89,39332
2024-12-01,DIGX,118.31,67111
2024-12-02,DIGX,118.67,43391
2024-12-03,DIGX,118.9,41024
2024-12-04,DIGX,119.05,45638
2024-12-05,DIGX,118.77,66029
2024-12-06,DIGX,118.93,47123
2024-12-07,DIGX,118.72,53175
2024-12-08,DIGX,117.86,52468
2024-12-09,DIGX,117.07,68619
2024-12-10,DIGX,114.01,35795
2024-12-11,DIGX,113.37,60450
2024-12-12,DIGX,118.55,52312
2024-12-13,DIGX,118.58,63586
2024-12-14,DIGX,114.89,47863
2024-12-15,DIGX,111.61,51845
2024-12-16,DIGX,111.48,44216
2024-12-17,DIGX,114.08,43035
2024-12-18,DIGX,117.04,49965
2024-12-19,DIGX,117.99,80253
2024-12-20,DIGX,117.49,61040
2024-12-21,DIGX,116.72,64866
2024-12-22,DIGX,119.0,51669
2024-12-23,DIGX,118.64,69167
2024-12-24,DIGX,120.4,50016
2024-12-25,DIGX,119.53,63188
2024-12-26,DIGX,116.97,42825
2024-12-27,DIGX,118.34,56774
2024-12-28,DIGX,121.39,70937
2024-12-29,DIGX,121.21,55251
2024-12-30,DIGX,116.76,47797
