target_id,mission,ra_deg,dec_deg,stellar_mag,stellar_teff_k,stellar_radius_rsun,period_days,transit_depth_ppm,transit_duration_hr,planet_radius_rearth,equilibrium_temp_k,snr,disposition,discovery_year
TIC-885106572,TESS,258.93863,0.86007,13.53,5808,0.855,1.222,451,1.55,1.85,1417,34.8,candidate,2019
TIC-258315126,TESS,137.89271,-62.49505,13.94,4838,0.846,37.001,52,3.89,0.68,462,18.8,candidate,2019
KIC-8030010,Kepler,193.7594,42.23413,13.65,4900,0.823,1.531,213,1.0,1.41,1271,20.2,confirmed,2016
KIC-3276659,Kepler,312.06649,-57.28878,12.42,4280,0.939,18.266,890,4.3,2.8,614,54.9,candidate,2013
KIC-11934628,Kepler,14.49293,-84.4146,12.08,5028,1.0,15.435,101,3.57,1.08,435,13.4,candidate,2018
KIC-6233774,Kepler,207.28682,73.44471,15.05,6647,1.138,3.879,71,1.69,1.12,-1,40.0,false_positive,2015
KIC-9488613,Kepler,233.11557,-87.72261,9.46,3976,0.92,78.57,3319,5.1,6.04,370,51.3,candidate,2015
TIC-901990632,TESS,336.46388,-39.79292,12.28,5835,1.074,2.864,124,2.37,1.33,1365,14.9,false_positive,2021
KIC-2436347,Kepler,86.88818,-16.84294,10.26,5049,0.788,23.538,592,,2.04,566,27.2,candidate,2016
TIC-279942642,TESS,82.99369,39.83118,13.87,5348,1.012,8.997,94,2.05,0.96,958,7.8,candidate,2020
KIC-9961299,Kepler,45.56987,-81.80717,13.96,5529,0.936,2.204,12835,1.65,12.64,-1,68.6,confirmed,2011
TIC-172915636,TESS,53.71113,11.31113,12.6,3597,0.563,16.799,766,2.0,1.42,352,45.2,candidate,2020
KIC-2664863,Kepler,341.13247,-52.59818,12.89,4918,0.813,3.259,361,1.49,1.58,864,29.3,candidate,2011
KIC-4318855,Kepler,153.05003,8.02123,12.79,6355,1.257,41.754,480,5.49,2.96,1020,46.2,candidate,2011
TIC-52800191,TESS,320.19224,42.21611,11.54,3689,0.576,14.848,683,2.52,1.49,283,13.7,candidate,2019
TIC-537986559,TESS,348.85988,-5.39813,8.0,3451,0.4,3.926,658,1.0,1.09,271,25.2,confirmed,2021
KIC-1019311,Kepler,236.75774,7.66685,10.62,5836,0.93,7.54,4920,2.34,8.01,953,66.2,false_positive,2014
TIC-448076670,TESS,33.55531,88.60629,8.73,5700,0.97,17.239,530,3.3,2.06,-1,24.3,false_positive,2018
KIC-204684875,K2,99.44907,52.20111,8.0,5847,0.898,5.757,2344,2.2,4.43,935,46.9,false_positive,2018
KIC-5006492,Kepler,205.84715,-47.95876,9.57,6213,1.171,1.563,89,1.48,1.32,2276,26.0,false_positive,2015
KIC-9823994,Kepler,327.759,-87.23743,15.12,3322,0.4,4.757,15821,1.0,5.65,238,65.4,candidate,2011
KIC-4938791,Kepler,227.21797,75.76724,8.26,4057,0.837,79.625,546,2.02,1.9,265,21.7,candidate,2012
TIC-860961305,TESS,64.82048,-58.48752,10.1,6192,1.282,2.653,1924,2.8,5.3,1996,60.3,confirmed,2023
KIC-8118722,Kepler,248.51286,-7.76955,14.26,6281,1.269,42.637,712,8.11,3.66,733,48.4,candidate,2013
KIC-11173812,Kepler,268.26198,59.911,15.54,5060,0.858,0.523,292,1.0,1.41,1890,49.7,candidate,2012
TIC-106779973,TESS,327.46601,-31.19056,10.29,4905,0.759,4.234,61,1.08,0.79,672,15.9,candidate,2021
KIC-3361510,Kepler,271.49454,-49.38935,10.33,3948,0.785,103.855,444,3.84,1.72,253,19.0,candidate,2015
TIC-36870011,TESS,223.03687,79.77044,10.38,3030,0.432,568.29,4265,3.35,3.32,200,44.0,false_positive,2023
KIC-10062926,Kepler,150.88563,43.60842,11.12,3923,0.921,8.665,817,2.35,2.96,633,47.3,candidate,2011
TIC-75015165,TESS,143.33027,-55.83446,15.49,5916,0.88,10.662,1111,2.88,3.45,663,70.5,candidate,2021
KIC-10998912,Kepler,1.0208,64.5131,10.89,6308,1.03,1.288,1016,1.77,3.63,2500,29.1,candidate,2011
TIC-491331845,TESS,280.08613,2.38283,14.29,5586,0.954,32.213,153,4.15,1.31,598,35.5,candidate,2022
KIC-2101965,Kepler,45.42897,22.37715,12.34,3762,0.631,5.09,50000,1.05,16.24,548,48.3,confirmed,2018
KIC-222745315,K2,297.87092,-18.22857,11.72,6237,1.196,9.734,71,2.54,1.02,1284,5.0,candidate,2016
TIC-389673044,TESS,314.49865,79.40338,10.85,4984,0.98,138.734,2348,6.87,5.06,264,35.7,candidate,2021
TIC-917478447,TESS,201.94765,48.13786,9.3,3964,0.823,7.211,125,2.49,1.0,646,18.3,false_positive,2022
KIC-9900022,Kepler,77.44784,-14.43015,10.98,6136,1.238,6.533,64,4.87,1.0,1473,11.4,confirmed,2014
KIC-9595744,Kepler,40.9743,-12.61555,11.22,4856,1.063,25.196,76,4.5,0.98,558,28.3,candidate,2016
KIC-215442468,K2,180.09444,60.00376,14.01,6384,1.253,451.042,589,13.7,3.53,337,50.1,candidate,2016
KIC-12569736,Kepler,331.11711,-74.13662,13.04,3565,0.555,41.5,165,2.01,0.8,209,31.5,candidate,2018
KIC-2724773,Kepler,52.71992,-54.49108,9.71,5128,0.964,3.542,223,1.73,1.48,1147,34.1,false_positive,2018
KIC-8377995,Kepler,24.58305,-10.40255,11.35,4265,0.962,3.326,106,1.07,1.19,771,5.0,candidate,2009
KIC-10590807,Kepler,234.66148,-32.12518,14.19,5954,0.973,16.235,74,4.43,1.22,893,11.8,false_positive,2016
KIC-225999085,K2,147.15698,-29.09391,8.4,5891,1.056,24.746,116,4.72,1.09,879,26.3,candidate,2016
KIC-10983135,Kepler,255.18025,-74.75058,13.8,4889,0.814,6.2,254,1.75,1.61,885,40.3,false_positive,2017
KIC-9158272,Kepler,69.12188,89.99579,13.18,3701,0.413,13.19,175,1.08,0.64,215,39.1,confirmed,2010
KIC-224447719,K2,243.49065,-47.24456,8.72,5915,0.991,3.471,633,2.29,3.01,1478,34.5,false_positive,2017
TIC-459533634,TESS,347.85654,57.04042,12.43,3553,0.479,116.88,6266,4.44,3.94,200,52.8,candidate,2020
KIC-6865064,Kepler,334.96989,-15.31856,11.6,5189,0.689,113.821,265,5.36,1.19,294,11.1,confirmed,2015
KIC-230105135,K2,221.52537,73.05435,13.73,6081,1.197,120.167,50,7.18,0.86,502,42.6,candidate,2015
KIC-216236193,K2,258.67596,-37.57104,15.48,3529,0.502,13.557,3397,,3.1,232,73.5,candidate,2014
TIC-282354893,TESS,269.03397,-25.7231,13.69,4732,0.924,23.374,50,3.57,1.08,487,16.6,candidate,2023
TIC-501429705,TESS,13.31416,-53.71362,8.67,3607,0.542,5.123,346,1.37,1.17,353,30.0,candidate,2024
KIC-7711251,Kepler,267.59077,71.03475,8.0,6159,1.151,6.198,73,3.61,1.04,1451,5.0,candidate,2016
TIC-188933456,TESS,248.31533,-26.72154,13.34,6557,1.223,6.075,50,3.4,0.5,1722,29.1,candidate,2018
TIC-480484488,TESS,12.52763,-77.89799,12.43,6219,1.129,16.682,52,4.71,1.0,987,13.8,confirmed,2021
TIC-990908797,TESS,202.20218,-42.8802,18.0,4936,0.912,44.075,795,3.85,2.74,493,36.7,confirmed,2020
TIC-771863296,TESS,23.37807,7.59085,15.79,4795,0.751,18.314,1300,3.74,2.76,598,45.7,false_positive,2023
TIC-80596494,TESS,111.34466,89.92711,10.77,3068,0.593,41.177,33388,2.19,12.77,200,59.3,false_positive,2023
KIC-233746617,K2,327.85642,-80.02569,13.02,4838,0.92,12.372,623,2.94,2.65,741,26.9,candidate,2015
KIC-10741631,Kepler,55.50994,28.57192,9.56,6641,1.237,266.837,460,13.3,2.81,446,26.2,confirmed,2018
KIC-6068298,Kepler,173.86013,54.84387,11.17,7175,1.251,105.823,232,10.9,2.02,667,30.6,false_positive,2010
TIC-141556899,TESS,96.2898,-45.3746,14.51,5037,0.754,29.553,1001,4.01,2.8,437,27.7,candidate,2018
KIC-2510773,Kepler,340.28381,0.98,13.7,6739,1.122,90.536,554,5.93,2.92,735,72.9,candidate,2014
KIC-7082139,Kepler,199.16025,-76.76429,13.9,5413,0.843,3.976,884,2.11,2.73,1107,34.9,confirmed,2017
KIC-202611472,K2,49.33309,-30.05267,9.27,5882,0.876,21.797,948,3.34,2.63,633,48.6,candidate,2018
TIC-127687031,TESS,352.76329,15.06639,12.21,5608,1.08,9.668,97,,1.32,1015,10.4,false_positive,2024
TIC-892252092,TESS,245.06168,-84.31731,13.14,3175,0.452,2.494,103,1.0,0.5,325,28.0,candidate,2018
KIC-3905518,Kepler,165.47887,5.96287,11.62,5407,0.942,22.862,50,3.54,0.53,525,5.3,false_positive,2017
KIC-6319061,Kepler,172.72923,10.88777,15.66,3408,0.409,8.199,1935,1.08,2.11,273,47.5,candidate,2013
KIC-10035838,Kepler,97.60778,11.16324,14.22,5116,0.646,150.333,29165,4.36,13.11,264,63.0,confirmed,2013
KIC-7826774,Kepler,235.04141,68.51654,8.42,5117,0.811,2.801,453,1.93,2.21,1233,50.0,confirmed,2013
KIC-9311162,Kepler,67.07219,44.82058,10.95,5632,1.036,11.291,50,3.69,0.98,898,26.1,false_positive,2013
TIC-502755658,TESS,233.38272,39.34767,14.26,5239,0.98,6.895,180,2.67,1.98,1047,19.7,confirmed,2020
TIC-819340042,TESS,96.11796,-30.66745,13.71,3528,0.639,123.582,3036,4.11,3.86,200,59.4,confirmed,2022
TIC-669949050,TESS,79.50573,82.3249,9.27,4975,0.724,31.968,727,3.19,2.81,395,31.6,confirmed,2022
KIC-10188029,Kepler,325.03974,-53.61178,11.51,3552,0.694,5.239,2654,1.08,4.67,449,37.1,candidate,2017
KIC-1365247,Kepler,142.54154,56.96158,11.91,5204,0.994,9.525,97,2.19,1.03,761,24.7,confirmed,2009
KIC-8525204,Kepler,313.0633,73.21812,8.86,3040,0.516,13.462,24877,1.82,8.76,250,56.9,false_positive,2015
KIC-8115687,Kepler,191.4961,58.20488,12.04,6631,1.162,239.792,1303,15.0,3.89,491,28.7,false_positive,2013
KIC-1742169,Kepler,144.81553,-47.81893,10.49,3822,0.852,11.05,272,2.67,1.68,548,23.0,candidate,2012
TIC-305444277,TESS,21.94475,80.73365,16.01,4207,1.095,58.457,59,3.23,0.9,435,46.3,false_positive,2023
TIC-164996504,TESS,290.07942,74.65341,14.84,4593,0.938,20.66,160,2.97,1.33,595,35.7,confirmed,2022
KIC-2221118,Kepler,67.73879,47.10536,11.49,4915,0.831,11.854,707,3.25,2.65,655,37.9,candidate,2016
KIC-5748945,Kepler,137.03823,6.05702,8.33,6058,1.128,179.474,241,9.04,2.34,319,26.6,candidate,2014
KIC-10798429,Kepler,208.49145,-14.83595,13.29,5997,0.925,10.565,155,,1.23,1117,36.2,candidate,2015
TIC-964947893,TESS,195.16927,25.5257,9.68,5939,0.772,6.099,55,1.94,0.62,781,20.1,confirmed,2018
KIC-232427281,K2,237.34236,-87.16828,9.48,4076,0.933,28.795,131,4.24,1.11,457,41.1,confirmed,2014
KIC-226635268,K2,28.44693,82.6736,13.31,5375,1.018,14.535,84,3.78,1.33,832,29.3,candidate,2017
TIC-475906941,TESS,232.16661,-30.37129,18.0,6580,1.35,3.893,50,3.38,0.61,1951,19.3,confirmed,2022
TIC-164824511,TESS,270.81161,38.28805,10.68,5270,1.125,5.14,636,,3.34,1416,36.3,false_positive,2021
TIC-259262723,TESS,301.92288,-28.69331,12.74,4785,0.799,7.735,337,1.24,1.62,682,31.0,candidate,2021
TIC-297732777,TESS,55.51955,38.10189,14.94,4017,0.734,3.13,451,1.7,1.76,830,22.7,candidate,2023
KIC-11014732,Kepler,215.29577,-31.60254,10.44,5331,1.034,2.221,726,2.15,2.8,1313,36.5,confirmed,2015
TIC-397754927,TESS,90.61191,-45.61379,13.2,3691,0.4,3.789,494,1.0,1.03,372,42.9,candidate,2023
KIC-246660276,K2,72.30654,-33.44701,8.75,5187,0.864,497.85,770,7.22,2.32,212,49.7,candidate,2017
TIC-790839406,TESS,166.184,37.50607,10.08,5263,0.891,15.855,3465,3.37,5.96,571,47.4,candidate,2023
KIC-12604949,Kepler,150.58825,-83.38227,13.06,3609,0.592,2.679,1525,1.0,2.39,582,31.9,candidate,2014
TIC-123757100,TESS,3.7972,-43.42709,8.98,3000,0.427,15.299,4355,1.17,3.43,200,41.8,false_positive,2022
TIC-378365044,TESS,163.91975,-52.76388,11.49,5451,0.922,38.845,451,3.46,1.71,539,42.2,candidate,2021
KIC-6553084,Kepler,201.54562,82.52327,12.29,5384,0.892,92.225,733,6.21,2.71,414,15.3,false_positive,2011
KIC-7136988,Kepler,117.35457,-7.64092,8.0,6107,1.07,49.655,404,5.75,2.34,699,30.8,candidate,2013
TIC-346280635,TESS,42.43019,-35.0316,13.57,6008,1.182,9.456,363,3.64,2.62,1086,17.0,false_positive,2022
KIC-1160783,Kepler,174.45921,-54.87687,13.56,6342,1.106,8.483,155,3.38,1.71,1315,27.6,candidate,2015
TIC-807272900,TESS,278.11715,-0.8436,8.75,4588,0.855,31.564,452,4.09,1.72,434,47.1,candidate,2020
TIC-886955647,TESS,31.31388,65.75228,9.9,3469,0.425,78.628,95,3.51,0.5,200,25.7,false_positive,2018
TIC-357520416,TESS,352.44006,-37.32575,8.0,5797,0.876,9.909,246,2.98,1.44,859,37.1,candidate,2022
TIC-535552311,TESS,51.18179,23.83236,15.94,4846,1.062,84.947,4116,8.83,7.51,493,55.1,candidate,2023
KIC-8691502,Kepler,228.5426,35.51202,14.62,4674,0.697,5.718,2208,2.53,4.38,652,50.9,candidate,2015
KIC-3084353,Kepler,334.59584,-61.56297,11.28,4635,0.869,37.71,249,3.15,1.6,436,31.6,confirmed,2016
KIC-6125594,Kepler,261.35581,45.94179,11.01,6657,1.346,9.904,636,5.51,3.79,1499,52.0,false_positive,2010
KIC-6257165,Kepler,132.32221,-36.13404,12.71,5612,1.048,28.343,193,5.64,1.97,686,34.2,candidate,2015
TIC-103080561,TESS,322.77346,-64.79763,14.89,4238,1.084,12.863,59,4.08,1.09,671,16.9,candidate,2020
TIC-812990996,TESS,141.03037,26.31056,9.01,6178,1.251,31.565,50,5.92,0.77,720,30.7,candidate,2024
TIC-828970742,TESS,169.56527,87.72593,14.98,6328,1.202,4.419,7309,2.63,9.27,1933,77.1,candidate,2018
KIC-4409088,Kepler,350.75282,-62.03212,11.21,5853,1.164,32.899,50,5.06,0.79,727,5.0,candidate,2014
KIC-3946849,Kepler,42.99948,37.42211,11.55,5959,0.87,8.107,579,2.54,2.2,815,45.0,candidate,2014
KIC-205172082,K2,178.61312,1.94074,10.13,3300,0.539,7.352,433,1.48,1.03,319,40.8,confirmed,2014
KIC-202373209,K2,199.03132,74.51058,11.85,5189,0.907,2.69,346,1.76,1.9,1287,28.9,candidate,2016
KIC-6212643,Kepler,117.82833,9.55645,12.72,6135,1.12,114.321,330,7.99,2.29,581,47.0,false_positive,2009
KIC-10085620,Kepler,124.71253,61.12332,16.4,5711,0.84,1.713,49418,1.0,19.87,-1,68.3,confirmed,2009
TIC-971619489,TESS,134.09711,85.41986,12.74,4472,0.844,5.377,1383,2.35,3.07,765,45.9,confirmed,2018
TIC-260838144,TESS,26.88748,-53.51173,12.62,5108,0.774,76.93,980,6.78,2.79,369,38.5,candidate,2019
KIC-6499465,Kepler,53.39657,38.00833,10.01,4718,0.83,26.264,79,3.68,0.78,453,27.8,candidate,2014
KIC-4729376,Kepler,47.05749,58.26121,9.55,5164,1.027,142.406,62,7.25,0.93,427,35.0,confirmed,2010
TIC-892277976,TESS,260.7951,-0.69725,12.64,6108,1.208,11.887,842,5.36,3.76,1014,40.9,candidate,2021
TIC-224166184,TESS,231.35491,53.49563,12.04,5584,1.063,19.011,82,4.8,1.05,696,32.4,confirmed,2022
TIC-516467254,TESS,190.59563,48.03159,13.6,7500,1.219,4.947,478,2.56,3.11,2022,34.7,false_positive,2019
TIC-646212983,TESS,114.48157,42.85892,9.89,5239,0.934,21.356,13260,5.35,11.33,654,53.5,candidate,2023
TIC-995583524,TESS,221.08852,55.16017,12.98,6863,1.081,8.225,14400,2.73,15.43,-1,72.2,confirmed,2020
TIC-334017866,TESS,116.13715,85.65492,11.7,6672,1.127,1.516,50,1.07,0.75,2500,17.7,false_positive,2023
TIC-625076673,TESS,140.97651,88.97096,15.58,4860,0.971,248.567,1730,7.42,4.75,259,41.9,confirmed,2022
KIC-11722363,Kepler,262.54294,-29.5651,13.71,6881,1.075,1.133,218,1.28,1.74,2500,31.3,false_positive,2010
KIC-4784650,Kepler,58.55634,-76.73231,15.31,3517,0.544,10.356,2546,1.94,2.76,291,35.3,candidate,2009
KIC-3768193,Kepler,218.63435,-11.84393,14.12,5724,0.988,3.77,190,2.01,1.44,1126,21.8,candidate,2012
KIC-9058573,Kepler,71.88293,-85.36758,12.07,5677,1.111,7.643,672,2.22,2.98,1101,41.9,confirmed,2011
TIC-292824466,TESS,81.44722,-41.65884,15.87,6328,1.208,1.225,358,1.46,2.67,2359,44.5,confirmed,2023
KIC-7623718,Kepler,324.99979,38.57503,8.0,5878,1.037,4.709,774,1.0,3.04,1249,31.1,candidate,2017
TIC-893221403,TESS,225.80144,60.13946,11.73,3959,0.726,52.053,2708,4.36,3.99,280,55.1,confirmed,2024
KIC-2681144,Kepler,332.97414,11.28308,13.25,6817,1.129,28.474,524,3.78,3.26,813,28.1,confirmed,2010
TIC-751433502,TESS,85.52855,44.23497,16.68,4023,0.71,6.219,496,2.24,1.65,483,26.3,candidate,2018
KIC-8410774,Kepler,76.10058,58.3145,9.83,3143,0.478,127.664,614,2.94,1.31,200,41.8,candidate,2016
TIC-500108029,TESS,18.20134,-25.13249,12.75,3681,0.441,8.789,5395,1.0,3.17,304,58.6,candidate,2021
KIC-225941983,K2,17.87438,63.68784,16.54,6045,1.218,18.504,144,3.62,1.37,942,42.0,candidate,2015
TIC-337984850,TESS,256.58658,37.68628,11.16,5291,0.929,119.184,191,6.6,1.17,323,18.1,confirmed,2024
KIC-2071008,Kepler,121.06212,-40.23302,14.56,6758,1.053,21.821,815,3.08,3.07,735,30.2,candidate,2014
TIC-327403063,TESS,93.39346,-14.65818,11.49,5193,0.645,49.9,9775,1.92,6.57,280,51.5,candidate,2023
TIC-805555607,TESS,93.11467,55.5019,15.21,3560,0.463,72.91,104,2.35,0.5,200,34.8,candidate,2024
TIC-633106450,TESS,339.94835,-77.18117,14.26,6912,1.114,22.499,1118,3.71,3.8,867,38.0,confirmed,2024
TIC-199863614,TESS,112.82907,-79.55755,15.9,5047,0.677,52.917,8298,5.6,5.51,255,75.4,confirmed,2021
KIC-1236174,Kepler,321.1223,46.23259,11.53,3791,0.698,15.673,140,1.98,0.97,423,26.1,confirmed,2009
TIC-153655310,TESS,123.38382,72.24908,15.9,5477,0.968,5.334,348,2.59,2.04,992,30.8,candidate,2020
TIC-838123020,TESS,192.50404,-81.25435,15.68,6414,1.099,26.212,1660,4.76,4.4,968,61.2,candidate,2023
TIC-459710722,TESS,299.03498,-71.11544,12.55,5470,1.081,35.628,319,4.91,2.26,636,30.2,candidate,2023
TIC-261798116,TESS,0.98568,30.89396,15.96,5652,0.885,22.283,1949,4.18,4.57,690,62.0,false_positive,2023
KIC-245417033,K2,112.57456,42.93724,13.42,6132,1.207,9.414,576,4.26,3.48,1242,60.6,false_positive,2014
TIC-907335002,TESS,138.85758,63.12088,13.12,3690,0.553,4.485,50000,1.79,19.47,410,82.5,confirmed,2024
KIC-3192032,Kepler,173.90868,-2.1379,9.2,4674,0.808,0.524,1071,1.0,3.08,1592,28.6,candidate,2015
KIC-5170429,Kepler,173.49468,29.46792,11.11,5446,0.987,2.122,96,2.87,1.02,1655,15.3,candidate,2017
TIC-887357994,TESS,84.6,-7.36297,13.76,5235,1.233,18.408,217,4.57,1.98,785,27.3,candidate,2024
TIC-613800000,TESS,74.46645,30.86539,14.26,4977,0.851,14.898,743,3.14,2.27,679,22.8,false_positive,2018
TIC-411461715,TESS,252.75458,-81.75994,12.03,3397,0.466,89.271,348,3.79,0.88,200,47.0,candidate,2019
KIC-245106670,K2,211.972,48.98613,8.51,3483,0.448,18.374,12303,2.41,5.22,220,73.8,candidate,2018
KIC-6399642,Kepler,181.47964,-20.76073,10.08,5769,0.969,13.961,677,3.72,2.72,804,23.8,confirmed,2018
TIC-689231134,TESS,78.24332,-52.25171,11.15,3366,0.805,8.117,731,1.37,2.51,457,59.3,false_positive,2023
KIC-8086467,Kepler,290.98972,4.0914,10.61,3000,0.612,13.349,141,1.41,0.97,261,46.4,candidate,2009
KIC-12333445,Kepler,266.21729,65.67147,11.85,5943,1.027,91.677,552,7.56,2.29,507,53.7,candidate,2012
KIC-229733511,K2,298.79405,74.06755,13.37,3051,0.499,2.634,701,1.0,1.33,282,59.9,confirmed,2016
TIC-637050254,TESS,304.56511,-88.98388,8.0,4673,0.745,12.213,259,2.74,1.28,480,32.4,candidate,2018
KIC-7978168,Kepler,195.50886,-17.38493,13.6,5796,1.22,35.982,50,4.09,0.71,895,17.1,confirmed,2014
KIC-11420860,Kepler,87.77778,-82.8221,13.84,5220,1.082,15.374,4496,1.51,7.08,961,56.7,candidate,2010
KIC-10025719,Kepler,191.9541,22.84795,14.81,5112,0.805,199.066,722,9.97,2.65,270,46.5,false_positive,2012
TIC-103974854,TESS,26.36929,-57.96141,11.99,3743,0.471,2.438,43929,1.0,10.54,557,66.2,confirmed,2024
KIC-2780658,Kepler,104.34118,33.45816,8.68,5729,0.892,44.837,329,3.47,2.0,450,35.9,candidate,2018
KIC-11870639,Kepler,134.32699,80.90372,9.0,3175,0.588,3.476,1132,1.6,2.54,313,36.3,confirmed,2010
KIC-2923047,Kepler,65.28887,53.93881,10.89,5248,0.901,38.137,384,4.8,2.34,632,40.5,confirmed,2009
TIC-976494980,TESS,69.65948,-2.54498,10.27,6889,1.196,13.394,397,2.84,2.65,1208,42.3,candidate,2023
TIC-395195859,TESS,278.91611,-2.34515,10.87,6276,1.143,32.959,425,5.04,2.41,701,40.8,candidate,2018
KIC-10899166,Kepler,76.59385,-83.40186,11.65,6147,1.034,6.035,1495,2.76,4.22,1432,48.8,confirmed,2017
KIC-211129572,K2,272.59419,-64.73328,11.95,4239,0.803,28.363,161,2.57,1.01,397,12.0,false_positive,2015
KIC-8879825,Kepler,330.4447,68.67936,15.5,6005,0.979,4.869,495,2.34,2.47,1216,41.1,confirmed,2010
TIC-388921345,TESS,294.20524,-27.89418,9.41,5715,1.091,2.034,149,1.47,1.3,1999,36.5,candidate,2024
KIC-232314035,K2,243.08259,-3.77619,8.96,5171,0.849,68.942,1029,5.94,2.87,380,38.3,confirmed,2017
KIC-12102239,Kepler,295.66919,80.5057,11.12,5032,0.797,10.926,614,,2.19,698,55.9,candidate,2012
KIC-4855635,Kepler,136.15609,-66.20162,15.02,6643,1.155,2.684,601,3.0,2.92,1949,59.2,candidate,2017
TIC-738597565,TESS,233.72342,3.96796,8.0,3544,0.501,9.454,520,,1.37,285,24.9,candidate,2020
TIC-99998443,TESS,101.976,67.81794,10.64,4222,0.952,17.091,1188,2.54,3.12,497,39.5,candidate,2023
TIC-740794809,TESS,143.08349,-53.33514,11.01,5710,0.88,12.218,609,3.42,2.64,845,32.1,candidate,2022
TIC-240272673,TESS,183.00368,51.4946,13.08,4976,0.943,10.214,168,1.46,1.36,693,13.3,candidate,2023
TIC-569425442,TESS,103.12892,83.43537,12.33,4713,0.86,14.596,966,3.42,3.07,615,46.6,candidate,2018
TIC-10308454,TESS,351.23252,-74.36829,11.59,3260,0.467,4.535,886,1.16,1.35,301,42.2,confirmed,2023
KIC-10645334,Kepler,1.67452,-58.49374,11.54,6097,1.038,12.06,478,4.0,2.12,935,47.6,candidate,2017
KIC-8698199,Kepler,245.37408,71.37429,13.86,5100,1.083,159.229,702,6.78,3.68,421,38.0,candidate,2013
KIC-3994493,Kepler,171.55996,-26.36317,13.1,4975,1.0,14.046,806,4.97,3.21,751,42.4,candidate,2018
KIC-12338245,Kepler,344.08069,-1.32032,16.93,6186,1.0,27.568,4043,4.91,6.82,736,71.6,confirmed,2009
TIC-590645164,TESS,11.72255,-27.48799,14.49,5549,0.915,157.459,129,7.1,1.07,289,12.0,confirmed,2024
TIC-668293983,TESS,123.51473,-56.89554,9.69,6418,1.177,14.0,270,3.54,2.3,1046,27.7,candidate,2024
KIC-1163448,Kepler,63.57862,-0.07239,13.01,3667,0.538,31.524,396,2.32,1.12,244,26.1,confirmed,2017
KIC-237412620,K2,335.46405,-43.61133,13.26,5045,0.856,25.317,733,4.18,2.49,543,37.0,candidate,2018
KIC-6660436,Kepler,151.85394,20.21582,13.4,5537,0.963,8.241,293,2.6,2.02,710,27.2,candidate,2015
TIC-207446299,TESS,307.51626,-67.49282,12.18,5726,1.061,11.761,128,4.29,1.33,1031,19.3,candidate,2023
