sale_id,listing_id,sale_date,sale_price_usd,days_on_market,agent_id,financing
SALE-000035,LIST-003076,2025-07-28,848000,1,AGT-0249,fha
SALE-000036,LIST-002423,2025-12-07,486000,72,AGT-0701,conventional
SALE-000037,LIST-002995,2025-05-19,219000,30,AGT-0673,va
SALE-000038,LIST-001587,2025-07-13,550000,30,AGT-0442,cash
SALE-000039,LIST-004552,2024-08-24,416000,45,AGT-0020,conventional
SALE-000040,LIST-000327,2025-09-22,1216000,42,AGT-0713,conventional
SALE-000041,LIST-001320,2026-04-04,1138000,56,AGT-0459,va
SALE-000042,LIST-003844,2025-10-24,856000,44,AGT-0039,fha
SALE-000043,LIST-002205,2025-10-24,541000,30,AGT-0371,cash
SALE-000044,LIST-003860,2026-03-06,625000,56,AGT-0419,fha
SALE-000045,LIST-004024,2025-01-01,320000,48,AGT-0714,fha
SALE-000046,LIST-003059,2024-08-27,512000,28,AGT-0239,cash
SALE-000047,LIST-004513,2026-04-26,1994000,76,AGT-0126,fha
SALE-000048,LIST-003357,2025-11-26,894000,79,AGT-0650,conventional
SALE-000049,LIST-002546,2025-09-17,788000,20,AGT-0262,conventional
SALE-000050,LIST-001608,2025-04-10,710000,47,AGT-0596,va
SALE-000051,LIST-004667,2024-07-19,1413000,61,AGT-0039,conventional
SALE-000052,LIST-003393,2026-03-26,289000,52,AGT-0456,fha
SALE-000053,LIST-003624,2026-03-17,437000,31,AGT-0406,conventional
SALE-000054,LIST-002260,2025-03-10,485000,20,AGT-0488,cash
SALE-000055,LIST-001458,2026-02-24,327000,36,AGT-0563,conventional
SALE-000056,LIST-001696,2025-07-15,745000,1,AGT-0422,cash
SALE-000057,LIST-000783,2026-01-22,639000,5,AGT-0274,fha
SALE-000058,LIST-002630,2024-11-10,478000,1,AGT-0349,conventional
SALE-000059,LIST-002035,2026-03-23,1076000,46,AGT-0462,cash
SALE-000060,LIST-001148,2025-08-07,752000,30,AGT-0656,fha
SALE-000061,LIST-003873,2024-09-25,1147000,85,AGT-0303,conventional
SALE-000062,LIST-004621,2025-12-12,889000,5,AGT-0781,conventional
SALE-000063,LIST-001726,2025-07-16,907000,37,AGT-0410,cash
SALE-000064,LIST-000334,2025-03-27,499000,30,AGT-0429,cash
SALE-000065,LIST-004500,2025-05-01,1573000,44,AGT-0423,conventional
SALE-000066,LIST-003898,2026-02-04,331000,32,AGT-0237,cash
SALE-000067,LIST-000021,2025-11-15,329000,69,AGT-0613,cash
SALE-000068,LIST-004749,2024-10-27,424000,58,AGT-0526,fha
SALE-000069,LIST-000210,2025-10-04,1443000,1,AGT-0160,conventional
SALE-000070,LIST-002720,2024-12-07,331000,54,AGT-0570,cash
SALE-000071,LIST-002400,2025-02-11,555000,1,AGT-0172,va
SALE-000072,LIST-003911,2024-07-07,799000,27,AGT-0242,conventional
SALE-000073,LIST-002257,2026-04-24,1022000,90,AGT-0002,conventional
SALE-000074,LIST-002655,2025-09-24,152000,66,AGT-0230,fha
SALE-000075,LIST-003799,2024-08-12,779000,50,AGT-0143,conventional
SALE-000076,LIST-002474,2025-02-08,1185000,47,AGT-0627,cash
SALE-000077,LIST-002650,2025-07-03,842000,5,AGT-0640,cash
SALE-000078,LIST-003422,2026-04-03,779000,55,AGT-0429,conventional
SALE-000079,LIST-003747,2025-12-04,602000,54,AGT-0681,cash
SALE-000080,LIST-003705,2025-12-08,835000,58,AGT-0013,conventional
SALE-000081,LIST-002987,2026-03-26,1345000,53,AGT-0123,conventional
SALE-000082,LIST-002136,2025-12-01,193000,74,AGT-0399,cash
SALE-000083,LIST-002549,2025-05-06,890000,52,AGT-0761,conventional
SALE-000084,LIST-003449,2026-04-30,761000,53,AGT-0276,cash
SALE-000085,LIST-003480,2025-04-11,1256000,19,AGT-0257,conventional
SALE-000086,LIST-000666,2026-02-24,361000,28,AGT-0026,fha
SALE-000087,LIST-004968,2024-09-03,507000,77,AGT-0180,conventional
SALE-000088,LIST-004592,2024-09-10,750000,37,AGT-0622,fha
SALE-000089,LIST-000795,2025-01-04,1356000,66,AGT-0048,fha
SALE-000090,LIST-004781,2024-11-21,262000,4,AGT-0017,cash
SALE-000091,LIST-002005,2026-03-30,1527000,81,AGT-0740,cash
SALE-000092,LIST-001777,2025-12-20,453000,22,AGT-0469,fha
SALE-000093,LIST-001652,2025-09-14,775000,59,AGT-0753,cash
SALE-000094,LIST-000973,2025-02-23,458000,13,AGT-0539,conventional
SALE-000095,LIST-000450,2024-10-02,1166000,61,AGT-0273,conventional
SALE-000096,LIST-003934,2025-09-08,2255000,32,AGT-0394,conventional
SALE-000097,LIST-001982,2026-04-24,234000,45,AGT-0353,conventional
SALE-000098,LIST-003489,2025-11-04,1613000,38,AGT-0664,conventional
SALE-000099,LIST-001694,2025-03-24,316000,50,AGT-0233,conventional
SALE-000100,LIST-002495,2024-12-06,1293000,23,AGT-0531,conventional
SALE-000101,LIST-000308,2026-03-03,412000,50,AGT-0461,fha
SALE-000102,LIST-003212,2025-10-06,727000,1,AGT-0324,cash
SALE-000103,LIST-004841,2024-10-20,496000,56,AGT-0270,fha
SALE-000104,LIST-002608,2024-12-05,1178000,27,AGT-0280,conventional
SALE-000105,LIST-002230,2025-09-21,910000,52,AGT-0074,conventional
SALE-000106,LIST-003823,2025-05-06,827000,33,AGT-0187,conventional
SALE-000107,LIST-000224,2025-02-02,940000,84,AGT-0070,fha
SALE-000108,LIST-000524,2025-05-28,1277000,29,AGT-0702,fha
SALE-000109,LIST-002695,2025-10-13,1323000,80,AGT-0342,conventional
SALE-000110,LIST-001847,2024-09-29,309000,39,AGT-0365,va
SALE-000111,LIST-002586,2026-01-09,808000,38,AGT-0171,conventional
SALE-000112,LIST-003080,2024-09-06,364000,80,AGT-0531,fha
SALE-000113,LIST-002921,2025-09-01,731000,1,AGT-0787,conventional
SALE-000114,LIST-003003,2026-04-30,518000,40,AGT-0648,fha
SALE-000115,LIST-003023,2025-10-01,497000,49,AGT-0680,cash
SALE-000116,LIST-004495,2025-11-17,574000,6,AGT-0735,conventional
SALE-000117,LIST-002829,2025-09-23,1376000,65,AGT-0009,fha
SALE-000118,LIST-001477,2024-08-20,307000,1,AGT-0445,va
SALE-000119,LIST-000283,2024-12-22,532000,15,AGT-0369,conventional
SALE-000120,LIST-002740,2025-05-07,538000,33,AGT-0002,cash
SALE-000121,LIST-004463,2024-10-22,688000,5,AGT-0649,conventional
SALE-000122,LIST-003824,2025-09-02,745000,47,AGT-0239,conventional
SALE-000123,LIST-004312,2024-07-12,1146000,67,AGT-0687,conventional
SALE-000124,LIST-002294,2025-08-09,283000,94,AGT-0092,conventional
SALE-000125,LIST-001184,2024-08-17,782000,37,AGT-0573,cash
SALE-000126,LIST-004078,2025-05-29,534000,42,AGT-0004,conventional
SALE-000127,LIST-003522,2025-03-28,401000,91,AGT-0524,conventional
SALE-000128,LIST-001183,2026-04-30,366000,32,AGT-0108,conventional
SALE-000129,LIST-001445,2025-10-03,396000,32,AGT-0057,va
SALE-000130,LIST-001621,2025-12-26,551000,37,AGT-0404,conventional
SALE-000131,LIST-000395,2025-10-16,273000,42,AGT-0693,cash
SALE-000132,LIST-000129,2026-03-02,469000,58,AGT-0228,conventional
SALE-000133,LIST-003490,2025-03-27,1291000,72,AGT-0325,fha
SALE-000134,LIST-000796,2025-04-30,685000,53,AGT-0180,cash
SALE-000135,LIST-001679,2025-11-25,634000,44,AGT-0205,cash
SALE-000136,LIST-003809,2024-09-16,893000,36,AGT-0233,conventional
SALE-000137,LIST-003784,2025-09-20,575000,25,AGT-0338,conventional
SALE-000138,LIST-004083,2025-10-09,716000,1,AGT-0415,conventional
SALE-000139,LIST-001446,2025-04-05,410000,43,AGT-0402,conventional
SALE-000140,LIST-001820,2025-05-13,688000,59,AGT-0186,fha
SALE-000141,LIST-002473,2025-01-26,233000,30,AGT-0630,conventional
SALE-000142,LIST-000808,2024-08-03,304000,44,AGT-0299,conventional
SALE-000143,LIST-001853,2026-02-17,483000,106,AGT-0445,fha
SALE-000144,LIST-003661,2025-07-12,1829000,39,AGT-0745,conventional
SALE-000145,LIST-000433,2026-02-25,883000,12,AGT-0251,conventional
SALE-000146,LIST-000288,2025-08-04,693000,60,AGT-0631,conventional
SALE-000147,LIST-004292,2025-03-23,750000,27,AGT-0380,conventional
SALE-000148,LIST-000946,2025-12-24,545000,69,AGT-0226,va
SALE-000149,LIST-003557,2026-02-12,361000,35,AGT-0564,va
SALE-000150,LIST-000205,2025-03-15,1242000,45,AGT-0126,va
SALE-000151,LIST-003344,2024-08-10,312000,62,AGT-0556,fha
SALE-000152,LIST-002613,2024-06-11,886000,37,AGT-0086,fha
SALE-000153,LIST-002098,2026-02-24,1253000,1,AGT-0590,conventional
SALE-000154,LIST-001845,2024-10-24,1309000,63,AGT-0594,cash
SALE-000155,LIST-003292,2025-04-27,1349000,38,AGT-0354,fha
SALE-000156,LIST-001428,2026-04-28,1153000,12,AGT-0507,conventional
SALE-000157,LIST-002645,2025-07-07,895000,39,AGT-0102,conventional
SALE-000158,LIST-003816,2025-01-29,1147000,20,AGT-0131,fha
SALE-000159,LIST-000819,2025-02-26,361000,49,AGT-0404,conventional
SALE-000160,LIST-004279,2024-11-24,976000,56,AGT-0299,fha
SALE-000161,LIST-004390,2025-11-29,1645000,20,AGT-0641,conventional
SALE-000162,LIST-004717,2026-03-28,719000,32,AGT-0328,fha
SALE-000163,LIST-001342,2025-08-08,1201000,58,AGT-0743,cash
SALE-000164,LIST-003066,2026-04-30,605000,64,AGT-0746,conventional
SALE-000165,LIST-003272,2025-03-20,525000,49,AGT-0089,fha
SALE-000166,LIST-000755,2024-09-30,411000,20,AGT-0011,cash
SALE-000167,LIST-000292,2024-07-08,952000,61,AGT-0762,cash
SALE-000168,LIST-003858,2026-03-18,668000,25,AGT-0567,cash
SALE-000169,LIST-001738,2025-05-14,1410000,51,AGT-0795,conventional
SALE-000170,LIST-001955,2026-02-07,539000,49,AGT-0429,cash
SALE-000171,LIST-002089,2025-03-11,843000,2,AGT-0598,cash
SALE-000172,LIST-002860,2026-02-05,883000,1,AGT-0701,cash
SALE-000173,LIST-004947,2026-03-27,923000,15,AGT-0238,conventional
SALE-000174,LIST-000232,2026-04-15,449000,41,AGT-0659,cash
SALE-000175,LIST-003312,2026-02-01,561000,42,AGT-0352,cash
SALE-000176,LIST-000952,2024-08-22,960000,1,AGT-0328,va
SALE-000177,LIST-003765,2025-03-31,288000,36,AGT-0408,fha
SALE-000178,LIST-003783,2025-05-21,679000,42,AGT-0364,other
SALE-000179,LIST-001695,2024-10-30,307000,31,AGT-0721,conventional
SALE-000180,LIST-004403,2026-02-16,301000,73,AGT-0619,fha
SALE-000181,LIST-002124,2024-11-11,860000,47,AGT-0076,conventional
SALE-000182,LIST-004165,2026-02-07,258000,36,AGT-0069,conventional
SALE-000183,LIST-003143,2024-07-19,161000,8,AGT-0078,conventional
SALE-000184,LIST-000440,2025-01-19,727000,43,AGT-0066,fha
SALE-000185,LIST-004360,2025-01-18,320000,67,AGT-0081,cash
SALE-000186,LIST-000989,2026-01-28,347000,96,AGT-0793,fha
SALE-000187,LIST-000380,2024-07-25,347000,45,AGT-0438,fha
SALE-000188,LIST-001866,2024-12-16,266000,66,AGT-0332,cash
SALE-000189,LIST-001725,2025-01-04,823000,22,AGT-0121,fha
SALE-000190,LIST-003749,2025-06-22,848000,10,AGT-0748,conventional
SALE-000191,LIST-001340,2024-08-20,540000,13,AGT-0001,conventional
SALE-000192,LIST-002603,2026-04-24,498000,67,AGT-0305,fha
SALE-000193,LIST-003548,2026-04-06,219000,64,AGT-0559,cash
SALE-000194,LIST-001123,2025-05-21,472000,32,AGT-0661,cash
SALE-000195,LIST-001205,2025-04-02,907000,48,AGT-0043,cash
SALE-000196,LIST-000798,2025-03-22,293000,1,AGT-0114,conventional
SALE-000197,LIST-002512,2026-04-26,474000,71,AGT-0200,conventional
SALE-000198,LIST-000938,2024-09-18,1410000,13,AGT-0356,conventional
SALE-000199,LIST-003615,2024-12-07,238000,102,AGT-0477,cash
SALE-000200,LIST-000596,2026-04-16,1176000,83,AGT-0642,conventional
SALE-000201,LIST-003681,2025-06-02,580000,48,AGT-0600,conventional
SALE-000202,LIST-002300,2025-05-04,611000,56,AGT-0710,conventional
SALE-000203,LIST-001878,2024-11-15,499000,60,AGT-0442,cash
SALE-000204,LIST-004409,2025-07-22,317000,49,AGT-0215,conventional
SALE-000205,LIST-002962,2025-09-13,848000,36,AGT-0067,va
SALE-000206,LIST-004178,2024-06-02,577000,17,AGT-0730,cash
SALE-000207,LIST-003362,2025-11-26,815000,10,AGT-0404,fha
SALE-000208,LIST-000123,2025-08-11,1391000,101,AGT-0332,fha
SALE-000209,LIST-000388,2026-02-08,463000,38,AGT-0182,va
SALE-000210,LIST-001855,2025-09-21,1930000,13,AGT-0486,fha
SALE-000211,LIST-001157,2025-08-22,337000,27,AGT-0654,conventional
SALE-000212,LIST-003465,2024-08-03,903000,15,AGT-0641,fha
SALE-000213,LIST-002752,2024-07-21,532000,60,AGT-0783,conventional
SALE-000214,LIST-004907,2024-12-30,950000,34,AGT-0016,other
SALE-000215,LIST-000048,2026-04-15,382000,46,AGT-0360,va
SALE-000216,LIST-003488,2024-11-27,241000,42,AGT-0045,conventional
SALE-000217,LIST-001890,2024-08-04,470000,56,AGT-0634,conventional
SALE-000218,LIST-002531,2025-10-04,618000,63,AGT-0767,conventional
SALE-000219,LIST-001235,2025-04-28,1479000,79,AGT-0069,conventional
SALE-000220,LIST-002088,2025-08-11,248000,23,AGT-0203,fha
SALE-000221,LIST-003842,2024-10-20,715000,23,AGT-0272,conventional
SALE-000222,LIST-002640,2025-11-06,302000,58,AGT-0154,conventional
SALE-000223,LIST-002532,2026-03-18,489000,37,AGT-0392,conventional
SALE-000224,LIST-000701,2025-06-19,306000,39,AGT-0114,conventional
SALE-000225,LIST-004677,2025-05-30,447000,66,AGT-0423,fha
SALE-000226,LIST-003402,2026-02-11,366000,41,AGT-0015,conventional
SALE-000227,LIST-001965,2024-06-13,889000,41,AGT-0164,fha
SALE-000228,LIST-001816,2024-12-29,619000,28,AGT-0317,conventional
SALE-000229,LIST-004476,2024-09-27,340000,14,AGT-0794,fha
SALE-000230,LIST-002030,2025-02-14,459000,20,AGT-0113,conventional
SALE-000231,LIST-001090,2025-06-21,307000,77,AGT-0088,conventional
SALE-000232,LIST-004954,2025-06-07,423000,51,AGT-0288,cash
SALE-000233,LIST-002160,2026-04-30,459000,40,AGT-0327,conventional
SALE-000234,LIST-001564,2024-06-19,986000,29,AGT-0184,fha
SALE-000235,LIST-000774,2025-10-16,610000,22,AGT-0747,conventional
SALE-000236,LIST-004052,2025-07-02,164000,29,AGT-0613,other
SALE-000237,LIST-003399,2025-12-16,668000,90,AGT-0002,fha
SALE-000238,LIST-004168,2024-10-27,1514000,33,AGT-0386,fha
SALE-000239,LIST-004009,2025-07-21,103000,25,AGT-0109,conventional
SALE-000240,LIST-004641,2025-01-21,747000,20,AGT-0029,conventional
SALE-000241,LIST-003924,2025-08-15,757000,3,AGT-0592,conventional
SALE-000242,LIST-002431,2024-10-27,922000,71,AGT-0742,fha
SALE-000243,LIST-001990,2024-09-08,623000,73,AGT-0657,conventional
SALE-000244,LIST-000826,2025-06-09,435000,52,AGT-0461,conventional
SALE-000245,LIST-001143,2025-08-23,549000,62,AGT-0237,conventional
SALE-000246,LIST-000409,2026-03-30,380000,54,AGT-0277,conventional
SALE-000247,LIST-002266,2025-03-24,373000,63,AGT-0177,conventional
SALE-000248,LIST-004508,2026-02-20,880000,47,AGT-0012,conventional
SALE-000249,LIST-004374,2025-05-29,921000,43,AGT-0292,va
SALE-000250,LIST-003301,2024-07-10,869000,28,AGT-0114,va
SALE-000251,LIST-004515,2025-06-11,499000,80,AGT-0154,conventional
SALE-000252,LIST-001049,2025-07-17,1523000,44,AGT-0422,fha
SALE-000253,LIST-002021,2025-02-11,507000,69,AGT-0248,va
SALE-000254,LIST-004246,2025-12-10,393000,39,AGT-0763,conventional
SALE-000255,LIST-002480,2026-02-28,375000,51,AGT-0489,conventional
SALE-000256,LIST-003250,2025-05-31,486000,53,AGT-0685,fha
SALE-000257,LIST-003087,2025-05-07,188000,30,AGT-0526,conventional
SALE-000258,LIST-003189,2026-01-29,752000,63,AGT-0111,conventional
SALE-000259,LIST-003029,2026-02-17,720000,58,AGT-0221,conventional
SALE-000260,LIST-003351,2025-10-01,476000,28,AGT-0610,cash
SALE-000261,LIST-003586,2024-10-18,601000,8,AGT-0621,cash
SALE-000262,LIST-001662,2025-11-20,901000,44,AGT-0662,conventional
SALE-000263,LIST-003457,2024-11-29,851000,57,AGT-0529,fha
SALE-000264,LIST-003903,2025-12-23,537000,51,AGT-0001,cash
SALE-000265,LIST-000490,2026-04-27,1501000,59,AGT-0579,conventional
SALE-000266,LIST-001894,2024-10-26,1928000,51,AGT-0623,conventional
SALE-000267,LIST-003606,2025-11-27,187000,51,AGT-0310,conventional
SALE-000268,LIST-000054,2025-07-27,1782000,31,AGT-0023,cash
SALE-000269,LIST-001817,2025-11-16,933000,84,AGT-0105,va
SALE-000270,LIST-003415,2025-11-09,747000,54,AGT-0363,fha
SALE-000271,LIST-000469,2024-09-30,758000,52,AGT-0021,fha
SALE-000272,LIST-000350,2026-04-24,1216000,81,AGT-0020,conventional
SALE-000273,LIST-004388,2024-10-20,562000,89,AGT-0316,cash
SALE-000274,LIST-003367,2024-09-01,947000,42,AGT-0265,fha
SALE-000275,LIST-004482,2026-04-30,549000,72,AGT-0345,conventional
SALE-000276,LIST-004013,2025-04-02,391000,12,AGT-0756,conventional
SALE-000277,LIST-001793,2024-07-13,806000,14,AGT-0032,conventional
SALE-000278,LIST-000890,2025-11-18,1092000,54,AGT-0404,fha
SALE-000279,LIST-002264,2025-04-21,1538000,57,AGT-0576,fha
SALE-000280,LIST-001039,2025-07-16,290000,68,AGT-0487,cash
SALE-000281,LIST-004464,2025-01-29,401000,73,AGT-0482,cash
SALE-000282,LIST-001037,2026-03-23,519000,41,AGT-0653,fha
SALE-000283,LIST-000561,2026-04-26,431000,16,AGT-0232,conventional
SALE-000284,LIST-004905,2026-01-02,452000,27,AGT-0228,va
SALE-000285,LIST-001728,2024-10-11,646000,89,AGT-0058,conventional
SALE-000286,LIST-004804,2025-02-19,695000,72,AGT-0661,cash
SALE-000287,LIST-000977,2025-04-26,528000,1,AGT-0002,cash
SALE-000288,LIST-004371,2025-08-05,821000,98,AGT-0294,conventional
SALE-000289,LIST-003766,2025-05-10,428000,58,AGT-0223,conventional
SALE-000290,LIST-001946,2025-04-20,835000,32,AGT-0026,va
SALE-000291,LIST-000706,2026-04-29,800000,92,AGT-0092,conventional
SALE-000292,LIST-001763,2025-10-05,335000,47,AGT-0247,fha
SALE-000293,LIST-000347,2025-01-19,804000,23,AGT-0262,fha
SALE-000294,LIST-002201,2024-07-12,326000,41,AGT-0403,conventional
SALE-000295,LIST-004903,2026-02-04,233000,40,AGT-0694,conventional
SALE-000296,LIST-004805,2026-04-29,501000,20,AGT-0597,conventional
SALE-000297,LIST-004778,2026-01-09,450000,28,AGT-0165,va
SALE-000298,LIST-004458,2025-09-15,481000,1,AGT-0792,fha
SALE-000299,LIST-000039,2024-09-27,1195000,70,AGT-0502,fha
SALE-000300,LIST-002328,2024-09-25,501000,70,AGT-0539,conventional
SALE-000301,LIST-004956,2024-11-28,1513000,1,AGT-0752,conventional
SALE-000302,LIST-004865,2024-09-25,618000,60,AGT-0793,va
SALE-000303,LIST-001001,2025-06-24,924000,4,AGT-0728,conventional
SALE-000304,LIST-002246,2025-09-18,210000,48,AGT-0562,conventional
SALE-000305,LIST-004637,2025-11-01,294000,50,AGT-0587,conventional
SALE-000306,LIST-002454,2025-08-05,165000,16,AGT-0089,cash
SALE-000307,LIST-002802,2024-06-29,1484000,23,AGT-0372,fha
SALE-000308,LIST-001287,2024-07-10,513000,21,AGT-0472,cash
SALE-000309,LIST-000902,2026-01-18,481000,1,AGT-0638,conventional
SALE-000310,LIST-003051,2025-01-26,596000,21,AGT-0500,conventional
SALE-000311,LIST-003530,2026-04-27,406000,23,AGT-0400,conventional
SALE-000312,LIST-003620,2026-01-11,309000,87,AGT-0688,conventional
SALE-000313,LIST-003338,2025-05-06,818000,61,AGT-0523,fha
SALE-000314,LIST-001643,2024-10-01,589000,11,AGT-0274,conventional
SALE-000315,LIST-001795,2024-11-10,1244000,47,AGT-0132,fha
SALE-000316,LIST-002093,2025-06-14,654000,63,AGT-0286,fha
SALE-000317,LIST-000434,2024-08-30,914000,40,AGT-0339,conventional
SALE-000318,LIST-002868,2024-10-16,571000,40,AGT-0112,conventional
SALE-000319,LIST-001909,2026-01-22,569000,61,AGT-0429,fha
SALE-000320,LIST-000695,2024-11-25,556000,35,AGT-0572,cash
SALE-000321,LIST-000631,2024-11-04,667000,76,AGT-0261,conventional
SALE-000322,LIST-000470,2024-07-24,806000,15,AGT-0748,conventional
SALE-000323,LIST-004938,2026-04-30,257000,64,AGT-0500,cash
SALE-000324,LIST-003442,2026-04-24,136000,68,AGT-0224,conventional
SALE-000325,LIST-003688,2024-08-09,429000,35,AGT-0687,cash
SALE-000326,LIST-004397,2024-08-31,438000,53,AGT-0630,conventional
SALE-000327,LIST-002764,2025-05-01,564000,53,AGT-0103,conventional
SALE-000328,LIST-002099,2025-02-21,156000,54,AGT-0603,conventional
SALE-000329,LIST-002864,2026-05-01,1388000,58,AGT-0721,conventional
SALE-000330,LIST-001835,2025-07-01,279000,81,AGT-0649,conventional
SALE-000331,LIST-003352,2024-10-11,947000,43,AGT-0441,conventional
SALE-000332,LIST-002572,2025-08-25,356000,40,AGT-0052,conventional
SALE-000333,LIST-004437,2024-11-03,370000,67,AGT-0745,fha
SALE-000334,LIST-000881,2025-02-02,1464000,56,AGT-0483,conventional
SALE-000335,LIST-000084,2025-01-10,805000,30,AGT-0583,conventional
SALE-000336,LIST-003582,2026-01-23,886000,14,AGT-0285,cash
SALE-000337,LIST-003839,2025-07-21,535000,14,AGT-0731,conventional
SALE-000338,LIST-000837,2025-05-19,767000,12,AGT-0592,cash
SALE-000339,LIST-003078,2025-01-20,1322000,33,AGT-0590,conventional
SALE-000340,LIST-001974,2025-04-06,499000,55,AGT-0662,conventional
SALE-000341,LIST-002814,2024-12-27,734000,44,AGT-0420,other
SALE-000342,LIST-001426,2025-09-16,481000,74,AGT-0169,cash
SALE-000343,LIST-000081,2025-01-21,1104000,54,AGT-0503,conventional
SALE-000344,LIST-002978,2025-03-16,135000,65,AGT-0197,conventional
SALE-000345,LIST-004085,2025-07-13,433000,30,AGT-0061,conventional
SALE-000346,LIST-004313,2025-06-14,552000,59,AGT-0535,conventional
SALE-000347,LIST-001539,2026-03-26,1603000,11,AGT-0745,fha
SALE-000348,LIST-000014,2025-01-22,1160000,50,AGT-0615,conventional
SALE-000349,LIST-004759,2025-02-03,436000,91,AGT-0716,cash
SALE-000350,LIST-003820,2025-10-14,748000,58,AGT-0504,conventional
SALE-000351,LIST-004201,2026-01-22,329000,43,AGT-0440,cash
SALE-000352,LIST-002036,2024-11-19,856000,68,AGT-0224,conventional
SALE-000353,LIST-000655,2026-02-02,956000,33,AGT-0090,conventional
SALE-000354,LIST-004664,2024-11-10,328000,83,AGT-0183,fha
SALE-000355,LIST-002296,2024-09-10,1600000,29,AGT-0150,va
SALE-000356,LIST-001607,2025-11-05,340000,89,AGT-0265,conventional
SALE-000357,LIST-000316,2026-04-27,179000,66,AGT-0356,conventional
SALE-000358,LIST-001685,2025-11-30,1054000,54,AGT-0467,cash
SALE-000359,LIST-001332,2025-07-30,1112000,12,AGT-0019,conventional
SALE-000360,LIST-002570,2024-05-29,150000,19,AGT-0670,conventional
SALE-000361,LIST-004848,2025-04-18,390000,72,AGT-0212,cash
SALE-000362,LIST-004433,2026-03-17,326000,43,AGT-0726,cash
SALE-000363,LIST-002955,2025-04-30,1167000,77,AGT-0242,va
SALE-000364,LIST-002886,2026-02-12,371000,46,AGT-0132,other
SALE-000365,LIST-002377,2025-06-03,582000,7,AGT-0636,fha
SALE-000366,LIST-003410,2025-05-14,252000,49,AGT-0453,conventional
SALE-000367,LIST-002606,2025-06-16,204000,106,AGT-0572,fha
SALE-000368,LIST-000275,2025-06-30,1068000,21,AGT-0099,conventional
SALE-000369,LIST-004673,2025-08-12,190000,16,AGT-0101,cash
SALE-000370,LIST-000584,2026-02-02,1118000,25,AGT-0184,conventional
SALE-000371,LIST-004959,2026-04-02,951000,55,AGT-0017,conventional
SALE-000372,LIST-003964,2026-03-25,344000,2,AGT-0299,conventional
SALE-000373,LIST-001365,2025-12-30,330000,48,AGT-0543,conventional
SALE-000374,LIST-001267,2024-06-20,956000,21,AGT-0773,conventional
SALE-000375,LIST-002598,2025-11-30,287000,1,AGT-0741,conventional
SALE-000376,LIST-004650,2025-07-11,616000,43,AGT-0330,conventional
SALE-000377,LIST-003907,2024-07-04,206000,10,AGT-0775,conventional
SALE-000378,LIST-002249,2024-09-22,443000,15,AGT-0093,conventional
SALE-000379,LIST-000108,2024-09-12,378000,66,AGT-0559,fha
SALE-000380,LIST-001028,2026-03-26,941000,1,AGT-0671,cash
