ts,vibration_mm_s,bearing_temp_c
2026-03-04 09:32:00,0.4495,66.84
2026-03-04 09:33:00,0.4502,66.03
2026-03-04 09:34:00,0.4949,67.71
2026-03-04 09:35:00,0.4642,66.7
2026-03-04 09:36:00,0.5049,65.59
2026-03-04 09:37:00,0.4654,67.09
2026-03-04 09:38:00,0.4328,67.83
2026-03-04 09:39:00,0.4922,66.84
2026-03-04 09:40:00,0.4479,66.77
2026-03-04 09:41:00,0.4293,66.22
2026-03-04 09:42:00,0.5038,67.62
2026-03-04 09:43:00,0.4797,66.34
2026-03-04 09:44:00,0.5307,68.19
2026-03-04 09:45:00,0.455,66.46
2026-03-04 09:46:00,0.4134,67.25
2026-03-04 09:47:00,0.4125,66.98
2026-03-04 09:48:00,0.4939,66.1
2026-03-04 09:49:00,0.5324,67.94
2026-03-04 09:50:00,0.4049,66.15
2026-03-04 09:51:00,0.4456,66.38
2026-03-04 09:52:00,0.4493,65.45
2026-03-04 09:53:00,0.454,68.08
2026-03-04 09:54:00,0.422,66.84
2026-03-04 09:55:00,0.4109,67.38
2026-03-04 09:56:00,0.4655,68.16
2026-03-04 09:57:00,0.487,66.78
2026-03-04 09:58:00,0.5051,66.7
2026-03-04 09:59:00,0.4339,67.18
2026-03-04 10:00:00,0.485,67.1
2026-03-04 10:01:00,0.5115,66.69
2026-03-04 10:02:00,0.5178,68.04
2026-03-04 10:03:00,0.4609,68.04
2026-03-04 10:04:00,0.4998,66.54
2026-03-04 10:05:00,0.6106,67.09
2026-03-04 10:06:00,0.5721,67.49
2026-03-04 10:07:00,0.4536,67.07
2026-03-04 10:08:00,0.5031,66.19
2026-03-04 10:09:00,0.4562,67.06
2026-03-04 10:10:00,1.1871,70.91
2026-03-04 10:11:00,1.2455,69.67
2026-03-04 10:12:00,1.34,70.45
2026-03-04 10:13:00,1.2911,69.54
2026-03-04 10:14:00,1.2807,70.27
2026-03-04 10:15:00,0.5727,67.51
2026-03-04 10:16:00,0.5385,66.62
2026-03-04 10:17:00,0.5459,67.68
2026-03-04 10:18:00,0.518,65.38
2026-03-04 10:19:00,0.502,66.92
2026-03-04 10:20:00,0.5539,67.23
2026-03-04 10:21:00,0.5342,67.37
2026-03-04 10:22:00,0.5776,67.07
2026-03-04 10:23:00,0.5092,68.6
2026-03-04 10:24:00,0.4643,66.69
2026-03-04 10:25:00,0.576,67.86
2026-03-04 10:26:00,0.435,67.07
2026-03-04 10:27:00,0.4722,66.7
2026-03-04 10:28:00,0.4849,67.14
2026-03-04 10:29:00,0.5951,67.45
2026-03-04 10:30:00,0.4274,67.16
2026-03-04 10:31:00,0.4844,67.14
2026-03-04 10:32:00,0.4842,66.86
2026-03-04 10:33:00,0.52,67.62
2026-03-04 10:34:00,0.4435,68.81
2026-03-04 10:35:00,0.5325,67.69
2026-03-04 10:36:00,0.4237,66.34
2026-03-04 10:37:00,0.4837,67.72
2026-03-04 10:38:00,0.4325,67.2
2026-03-04 10:39:00,0.5488,65.6
2026-03-04 10:40:00,0.4504,67.79
2026-03-04 10:41:00,0.4171,66.37
2026-03-04 10:42:00,0.4924,66.87
2026-03-04 10:43:00,0.48,67.86
2026-03-04 10:44:00,0.479,67.31
2026-03-04 10:45:00,0.4681,67.02
2026-03-04 10:46:00,0.4149,67.25
2026-03-04 10:47:00,0.4595,67.42
2026-03-04 10:48:00,0.4517,66.1
2026-03-04 10:49:00,0.4117,67.26
2026-03-04 10:50:00,0.5349,66.51
2026-03-04 10:51:00,0.4333,66.38
2026-03-04 10:52:00,0.5164,66.74
2026-03-04 10:53:00,0.4256,66.76
2026-03-04 10:54:00,0.5475,66.39
2026-03-04 10:55:00,0.5102,67.16
2026-03-04 10:56:00,0.469,67.93
2026-03-04 10:57:00,0.4668,66.79
2026-03-04 10:58:00,0.5445,67.65
2026-03-04 10:59:00,0.4758,65.64
2026-03-04 11:00:00,0.4633,67.0
2026-03-04 11:01:00,0.5245,67.08
2026-03-04 11:02:00,0.4868,67.22
2026-03-04 11:03:00,0.5232,67.26
2026-03-04 11:04:00,0.6014,66.73
2026-03-04 11:05:00,0.4441,66.33
2026-03-04 11:06:00,0.5951,67.0
2026-03-04 11:07:00,0.5375,67.17
2026-03-04 11:08:00,0.5439,66.32
2026-03-04 11:09:00,0.4934,65.91
2026-03-04 11:10:00,0.5698,67.72
2026-03-04 11:11:00,0.519,66.48
2026-03-04 11:12:00,0.5827,67.3
2026-03-04 11:13:00,0.5232,67.77
2026-03-04 11:14:00,0.5764,66.58
2026-03-04 11:15:00,0.5431,66.54
2026-03-04 11:16:00,0.6236,66.63
2026-03-04 11:17:00,0.5123,66.8
2026-03-04 11:18:00,0.5395,67.49
2026-03-04 11:19:00,0.5922,66.89
2026-03-04 11:20:00,0.432,66.84
2026-03-04 11:21:00,0.5212,66.37
2026-03-04 11:22:00,0.5243,67.2
2026-03-04 11:23:00,0.5002,67.77
2026-03-04 11:24:00,0.4931,66.28
2026-03-04 11:25:00,0.552,67.73
2026-03-04 11:26:00,0.5727,66.72
2026-03-04 11:27:00,0.524,66.71
2026-03-04 11:28:00,0.5807,66.86
2026-03-04 11:29:00,0.5245,67.35
2026-03-04 11:30:00,0.4709,66.76
2026-03-04 11:31:00,0.6191,68.03
2026-03-04 11:32:00,0.5493,66.65
2026-03-04 11:33:00,0.5634,67.76
2026-03-04 11:34:00,0.4404,67.01
2026-03-04 11:35:00,0.4686,66.97
2026-03-04 11:36:00,0.5542,65.55
2026-03-04 11:37:00,0.4963,67.76
2026-03-04 11:38:00,0.4245,67.9
2026-03-04 11:39:00,0.4072,66.94
2026-03-04 11:40:00,0.5085,66.64
2026-03-04 11:41:00,0.4961,66.4
2026-03-04 11:42:00,0.5282,66.71
2026-03-04 11:43:00,0.4978,66.56
2026-03-04 11:44:00,0.4674,67.76
2026-03-04 11:45:00,0.5299,67.0
2026-03-04 11:46:00,0.5136,67.6
2026-03-04 11:47:00,0.4565,67.63
2026-03-04 11:48:00,0.4439,66.82
2026-03-04 11:49:00,0.4769,67.35
2026-03-04 11:50:00,0.4735,66.26
2026-03-04 11:51:00,0.5001,68.03
2026-03-04 11:52:00,0.5595,67.27
2026-03-04 11:53:00,0.4789,65.95
2026-03-04 11:54:00,0.4581,67.58
2026-03-04 11:55:00,0.5549,65.48
2026-03-04 11:56:00,0.4995,67.0
2026-03-04 11:57:00,0.4613,66.99
2026-03-04 11:58:00,0.5747,66.11
2026-03-04 11:59:00,0.478,67.27
2026-03-04 12:00:00,0.4663,67.26
2026-03-04 12:01:00,0.4832,67.47
2026-03-04 12:02:00,0.5624,67.56
2026-03-04 12:03:00,0.577,66.9
2026-03-04 12:04:00,0.5251,66.19
2026-03-04 12:05:00,0.5962,66.06
2026-03-04 12:06:00,0.5781,66.55
2026-03-04 12:07:00,0.531,67.87
2026-03-04 12:08:00,0.5649,65.78
2026-03-04 12:09:00,0.5777,67.05
2026-03-04 12:10:00,0.5044,66.01
2026-03-04 12:11:00,0.6341,66.98
2026-03-04 12:12:00,0.553,67.11
2026-03-04 12:13:00,0.5169,66.09
2026-03-04 12:14:00,0.5142,67.32
2026-03-04 12:15:00,0.5826,66.9
2026-03-04 12:16:00,0.5821,66.52
2026-03-04 12:17:00,0.5564,67.24
2026-03-04 12:18:00,0.5208,66.85
2026-03-04 12:19:00,0.5767,66.65
2026-03-04 12:20:00,1.2464,69.39
2026-03-04 12:21:00,1.3061,69.83
2026-03-04 12:22:00,1.3941,70.46
2026-03-04 12:23:00,1.1953,68.78
2026-03-04 12:24:00,1.5211,70.54
2026-03-04 12:25:00,1.2796,69.55
2026-03-04 12:26:00,1.3642,71.16
2026-03-04 12:27:00,0.5608,67.56
2026-03-04 12:28:00,0.5154,67.05
2026-03-04 12:29:00,0.4938,66.66
2026-03-04 12:30:00,0.5704,66.98
2026-03-04 12:31:00,0.5912,66.88
2026-03-04 12:32:00,0.5214,67.77
2026-03-04 12:33:00,0.4996,66.09
2026-03-04 12:34:00,0.574,67.25
2026-03-04 12:35:00,0.4319,67.03
2026-03-04 12:36:00,0.4991,68.05
2026-03-04 12:37:00,0.4832,66.65
2026-03-04 12:38:00,0.4733,66.37
2026-03-04 12:39:00,0.4793,66.14
2026-03-04 12:40:00,0.4641,66.04
2026-03-04 12:41:00,0.4439,66.06
2026-03-04 12:42:00,0.4817,66.59
2026-03-04 12:43:00,0.4527,67.29
2026-03-04 12:44:00,0.4995,66.74
2026-03-04 12:45:00,0.4829,67.96
2026-03-04 12:46:00,0.5116,67.29
2026-03-04 12:47:00,0.3995,66.61
2026-03-04 12:48:00,0.4175,66.74
2026-03-04 12:49:00,0.5211,66.6
2026-03-04 12:50:00,0.5291,66.39
2026-03-04 12:51:00,0.534,66.07
2026-03-04 12:52:00,0.5034,67.25
2026-03-04 12:53:00,0.5386,66.92
2026-03-04 12:54:00,0.5983,66.75
2026-03-04 12:55:00,0.5065,65.34
2026-03-04 12:56:00,0.5993,66.78
2026-03-04 12:57:00,0.4857,67.79
2026-03-04 12:58:00,0.5865,67.06
2026-03-04 12:59:00,0.4841,67.25
2026-03-04 13:00:00,0.5211,66.3
2026-03-04 13:01:00,0.5922,65.72
2026-03-04 13:02:00,0.5776,67.28
2026-03-04 13:03:00,0.6413,67.2
2026-03-04 13:04:00,0.4811,66.5
2026-03-04 13:05:00,0.5701,67.21
2026-03-04 13:06:00,0.6105,65.82
2026-03-04 13:07:00,0.5617,67.58
2026-03-04 13:08:00,0.6399,68.12
2026-03-04 13:09:00,0.5655,67.66
2026-03-04 13:10:00,0.6521,67.72
2026-03-04 13:11:00,0.6148,67.5
2026-03-04 13:12:00,0.556,66.13
2026-03-04 13:13:00,0.6283,66.79
2026-03-04 13:14:00,0.5889,66.65
2026-03-04 13:15:00,0.5748,67.14
2026-03-04 13:16:00,0.5497,67.04
2026-03-04 13:17:00,0.6001,66.95
2026-03-04 13:18:00,0.5597,67.47
2026-03-04 13:19:00,0.6631,66.64
2026-03-04 13:20:00,0.636,67.53
2026-03-04 13:21:00,0.4785,66.54
2026-03-04 13:22:00,0.5569,67.47
2026-03-04 13:23:00,0.5872,67.28
2026-03-04 13:24:00,0.6022,66.46
2026-03-04 13:25:00,0.5436,66.27
2026-03-04 13:26:00,0.5633,66.93
2026-03-04 13:27:00,0.5733,66.56
2026-03-04 13:28:00,0.599,67.55
2026-03-04 13:29:00,0.6207,67.43
2026-03-04 13:30:00,0.5624,67.4
2026-03-04 13:31:00,0.5755,66.61
2026-03-04 13:32:00,0.5989,68.03
2026-03-04 13:33:00,0.6226,67.02
2026-03-04 13:34:00,0.5529,67.25
2026-03-04 13:35:00,0.5364,67.37
2026-03-04 13:36:00,0.5284,66.88
2026-03-04 13:37:00,0.6007,67.1
2026-03-04 13:38:00,0.5304,67.53
2026-03-04 13:39:00,0.5314,67.17
2026-03-04 13:40:00,0.5208,66.27
2026-03-04 13:41:00,0.5205,66.32
2026-03-04 13:42:00,0.529,66.29
2026-03-04 13:43:00,0.5564,67.45
2026-03-04 13:44:00,0.5306,66.94
2026-03-04 13:45:00,0.5362,65.82
2026-03-04 13:46:00,0.4761,66.91
2026-03-04 13:47:00,0.5348,66.95
2026-03-04 13:48:00,0.4822,67.08
2026-03-04 13:49:00,0.506,66.36
2026-03-04 13:50:00,0.5395,66.87
2026-03-04 13:51:00,0.5768,67.4
2026-03-04 13:52:00,0.5613,67.19
2026-03-04 13:53:00,0.5013,66.44
2026-03-04 13:54:00,0.4798,68.73
2026-03-04 13:55:00,0.4993,66.87
2026-03-04 13:56:00,0.5321,66.83
2026-03-04 13:57:00,0.5274,65.88
2026-03-04 13:58:00,0.5152,66.17
2026-03-04 13:59:00,0.5544,66.59
